,nan,transgender female,intersex,fa'afafine,transgender,American football player,Gender fluid,sociologist,transgender male,female creature,male creature,woman,genderqueer,female,male,kathoey
Q169470|Q3332126|Q2251335|Q723682|Q170790|,,,,,,,,,,,,,,,1.0,
Q169470|Q333634|,,,,,,,,,,,,,,1.0,2.0,
Q169470|Q3363630|,,,,,,,,,,,,,,,3.0,
Q169470|Q33999|,,,,,,,,,,,,,,,1.0,
Q169470|Q3546255|,,,,,,,,,,,,,,1.0,1.0,
Q169470|Q3578589|,,,,,,,,,,,,,,,1.0,
Q169470|Q36180|,,,,,,,,,,,,,,,25.0,
Q169470|Q36180|Q1234713|Q4964182|,,,,,,,,,,,,,,,1.0,
Q169470|Q36180|Q170790|Q185351|,,,,,,,,,,,,,,,1.0,
Q169470|Q36180|Q18805|,,,,,,,,,,,,,,,1.0,
Q169470|Q36180|Q2374149|,,,,,,,,,,,,,,1.0,,
Q169470|Q36180|Q4964182|,,,,,,,,,,,,,,,2.0,
Q169470|Q36180|Q6625963|,,,,,,,,,,,,,,,2.0,
Q169470|Q3621491|Q17488316|,,,,,,,,,,,,,,,1.0,
Q169470|Q36834|,,,,,,,,,,,,,,,4.0,
Q169470|Q36834|Q14915627|Q205375|Q16031530|,,,,,,,,,,,,,,,1.0,
Q169470|Q36834|Q639669|,,,,,,,,,,,,,,,1.0,
Q169470|Q37226|,,,,,,,,,,,,,,,11.0,
Q169470|Q37226|Q18972771|,,,,,,,,,,,,,,,1.0,
Q169470|Q37226|Q1930187|Q82955|,,,,,,,,,,,,,,,1.0,
Q169470|Q37226|Q205375|,,,,,,,,,,,,,,,1.0,
Q169470|Q37226|Q82955|,,,,,,,,,,,,,,,1.0,
Q169470|Q37226|Q901|,,,,,,,,,,,,,,,1.0,
Q169470|Q39631|,,,,,,,,,,,,,,2.0,7.0,
Q169470|Q39631|Q18805|,,,,,,,,,,,,,,,1.0,
Q169470|Q39631|Q2374149|Q13416354|Q170790|,,,,,,,,,,,,,,,1.0,
Q169470|Q39631|Q520549|Q17488316|,,,,,,,,,,,,,,,1.0,
Q169470|Q40348|,,,,,,,,,,,,,,,1.0,
Q169470|Q414528|,,,,,,,,,,,,,,,1.0,
Q169470|Q414528|Q81096|,,,,,,,,,,,,,,,1.0,
Q169470|Q42603|,,,,,,,,,,,,,,,4.0,
Q169470|Q42603|Q482980|,,,,,,,,,,,,,,,1.0,
Q169470|Q42603|Q81096|Q205375|,,,,,,,,,,,,,,,1.0,
Q169470|Q42973|,,,,,,,,,,,,,,,2.0,
Q169470|Q42973|Q16031530|,,,,,,,,,,,,,,,1.0,
Q169470|Q462390|,,,,,,,,,,,,,,3.0,,
Q169470|Q4773904|,,,,,,,,,,,,,,,2.0,
Q169470|Q4773904|Q3621491|,,,,,,,,,,,,,,,2.0,
Q169470|Q482980|,,,,,,,,,,,,,,3.0,113.0,
Q169470|Q482980|Q10873124|,,,,,,,,,,,,,,,1.0,
Q169470|Q482980|Q11063|,,,,,,,,,,,,,,,2.0,
Q169470|Q482980|Q1231865|,,,,,,,,,,,,,,,1.0,
Q169470|Q482980|Q1234713|,,,,,,,,,,,,,,,2.0,
Q169470|Q482980|Q170790|,,,,,,,,,,,,,,,2.0,
Q169470|Q482980|Q18814623|,,,,,,,,,,,,,,,1.0,
Q169470|Q482980|Q1930187|,,,,,,,,,,,,,,,1.0,
Q169470|Q482980|Q19350898|,,,,,,,,,,,,,,,1.0,
Q169470|Q482980|Q205375|,,,,,,,,,,,,,,,2.0,
Q169470|Q482980|Q2516852|,,,,,,,,,,,,,,,1.0,
Q169470|Q482980|Q4964182|,,,,,,,,,,,,,,1.0,1.0,
Q169470|Q482980|Q4964182|Q11774202|,,,,,,,,,,,,,,,1.0,
Q169470|Q482980|Q6625963|,,,,,,,,,,,,,,,2.0,
Q169470|Q482980|Q82955|,,,,,,,,,,,,,,,2.0,
Q169470|Q482980|Q901|,,,,,,,,,,,,,,,2.0,
Q169470|Q482980|Q974144|Q4964182|,,,,,,,,,,,,,,,1.0,
Q169470|Q4964182|,,,,,,,,,,,,,,,33.0,
Q169470|Q4964182|Q1231865|,,,,,,,,,,,,,,,1.0,
Q169470|Q4964182|Q1234713|,,,,,,,,,,,,,,,1.0,
Q169470|Q4964182|Q205375|,,,,,,,,,,,,,,,1.0,
Q169470|Q4964182|Q205375|Q81096|,,,,,,,,,,,,,,,1.0,
Q169470|Q49757|,,,,,,,,,,,,,,1.0,1.0,
Q169470|Q49757|Q177220|Q36834|,,,,,,,,,,,,,,,1.0,
Q169470|Q49757|Q182436|Q482980|,,,,,,,,,,,,,,,1.0,
Q169470|Q49757|Q482980|,,,,,,,,,,,,,,,1.0,
Q169470|Q4991371|,,,,,,,,,,,,,,,1.0,
Q169470|Q4991371|Q15895020|Q81096|,,,,,,,,,,,,,,,1.0,
Q169470|Q520549|,,,,,,,,,,,,,,,5.0,
Q169470|Q520549|Q11063|,,,,,,,,,,,,,,,1.0,
Q169470|Q520549|Q121594|,,,,,,,,,,,,,,,2.0,
Q169470|Q520549|Q1622272|,,,,,,,,,,,,,,,1.0,
Q169470|Q520549|Q16335117|,,,,,,,,,,,,,,,1.0,
Q169470|Q520549|Q182436|Q14915627|,,,,,,,,,,,,,,,1.0,
Q169470|Q5322166|,,,,,,,,,,,,,,,1.0,
Q169470|Q5428874|,,,,,,,,,,,,,,,1.0,
Q169470|Q5482740|Q16026109|,,,,,,,,,,,,,,,1.0,
Q169470|Q593644|,,,,,,,,,,,,,,7.0,77.0,
Q169470|Q593644|Q121594|Q170790|Q205375|,,,,,,,,,,,,,,,1.0,
Q169470|Q593644|Q131524|,,,,,,,,,,,,,,,1.0,
Q169470|Q593644|Q133485|Q42603|Q36180|,,,,,,,,,,,,,,,1.0,
Q169470|Q593644|Q15956275|,,,,,,,,,,,,,,,1.0,
Q169470|Q593644|Q1622272|,,,,,,,,,,,,,,,1.0,
Q169470|Q593644|Q168559|,,,,,,,,,,,,,,,1.0,
Q169470|Q593644|Q17682262|,,,,,,,,,,,,,,,1.0,
Q169470|Q593644|Q205375|,,,,,,,,,,,,,,,4.0,
Q169470|Q593644|Q2251335|,,,,,,,,,,,,,,,1.0,
Q169470|Q593644|Q2526255|,,,,,,,,,,,,,,,1.0,
Q169470|Q593644|Q33231|Q901|,,,,,,,,,,,,,,,1.0,
Q169470|Q593644|Q36180|,,,,,,,,,,,,,,,1.0,
Q169470|Q593644|Q39631|,,,,,,,,,,,,,,,1.0,
Q169470|Q593644|Q39631|Q212980|,,,,,,,,,,,,,,,1.0,
Q169470|Q593644|Q482980|,,,,,,,,,,,,,,,1.0,
Q169470|Q593644|Q482980|Q901|,,,,,,,,,,,,,,,1.0,
Q169470|Q593644|Q4964182|,,,,,,,,,,,,,,,1.0,
Q169470|Q593644|Q752129|Q81096|Q11063|,,,,,,,,,,,,,,,1.0,
Q169470|Q593644|Q81096|,,,,,,,,,,,,,,1.0,8.0,
Q169470|Q593644|Q81096|Q1231865|,,,,,,,,,,,,,,,1.0,
Q169470|Q593644|Q81096|Q18576582|,,,,,,,,,,,,,,,1.0,
Q169470|Q593644|Q81096|Q205375|,,,,,,,,,,,,,,,1.0,
Q169470|Q593644|Q81096|Q33231|,,,,,,,,,,,,,,,1.0,
Q169470|Q593644|Q82955|Q81096|,,,,,,,,,,,,,,,1.0,
Q169470|Q593644|Q864503|,,,,,,,,,,,,,,,2.0,
Q169470|Q593644|Q864503|Q11900058|Q4773904|Q14467526|Q1734662|Q482980|Q1930187|,,,,,,,,,,,,,,,1.0,
Q169470|Q593644|Q901|,,,,,,,,,,,,,,1.0,,
Q169470|Q593644|Q901|Q205375|,,,,,,,,,,,,,,,2.0,
Q169470|Q593644|Q901|Q2310145|,,,,,,,,,,,,,,,1.0,
Q169470|Q6337803|,,,,,,,,,,,,,,,5.0,
Q169470|Q6337803|Q82955|,,,,,,,,,,,,,,,1.0,
Q169470|Q6337803|Q901|Q18814623|,,,,,,,,,,,,,,,1.0,
Q169470|Q639669|,,,,,,,,,,,,,,,3.0,
Q169470|Q6625963|,,,,,,,,,,,,,,,5.0,
Q169470|Q6665249|,,,,,,,,,,,,,,,1.0,
Q169470|Q752129|,,,,,,,,,,,,,,,12.0,
Q169470|Q752129|Q11063|,,,,,,,,,,,,,,3.0,8.0,
Q169470|Q752129|Q11063|Q18921227|,,,,,,,,,,,,,,,1.0,
Q169470|Q752129|Q11063|Q482980|,,,,,,,,,,,,,,,1.0,
Q169470|Q752129|Q482980|,,,,,,,,,,,,,,,1.0,
Q169470|Q752129|Q482980|Q6625963|,,,,,,,,,,,,,,,1.0,
Q169470|Q752129|Q8246794|,,,,,,,,,,,,,,,1.0,
Q169470|Q752129|Q82955|,,,,,,,,,,,,,,1.0,,
Q169470|Q765778|Q11063|,,,,,,,,,,,,,,,1.0,
Q169470|Q7940086|,,,,,,,,,,,,,,,2.0,
Q169470|Q81096|,,,,,,,,,,,,,,9.0,201.0,
Q169470|Q81096|Q11774202|,,,,,,,,,,,,,,,1.0,
Q169470|Q81096|Q121594|,,,,,,,,,,,,,,,1.0,
Q169470|Q81096|Q121594|Q593644|,,,,,,,,,,,,,,,1.0,
Q169470|Q81096|Q131524|,,,,,,,,,,,,,,,2.0,
Q169470|Q81096|Q131524|Q205375|,,,,,,,,,,,,,,,1.0,
Q169470|Q81096|Q15623737|,,,,,,,,,,,,,,,1.0,
Q169470|Q81096|Q170790|Q2310145|,,,,,,,,,,,,,,,1.0,
Q169470|Q81096|Q18576582|,,,,,,,,,,,,,,,6.0,
Q169470|Q81096|Q19350898|,,,,,,,,,,,,,,,1.0,
Q169470|Q81096|Q201788|Q482980|Q11774202|,,,,,,,,,,,,,,,1.0,
Q169470|Q81096|Q205375|,,,,,,,,,,,,,,,17.0,
Q169470|Q81096|Q205375|Q103163|,,,,,,,,,,,,,,,1.0,
Q169470|Q81096|Q205375|Q131524|,,,,,,,,,,,,,,,1.0,
Q169470|Q81096|Q205375|Q18576582|,,,,,,,,,,,,,,,1.0,
Q169470|Q81096|Q205375|Q2310145|,,,,,,,,,,,,,,,1.0,
Q169470|Q81096|Q205375|Q36180|,,,,,,,,,,,,,,,1.0,
Q169470|Q81096|Q2310145|,,,,,,,,,,,,,,,2.0,
Q169470|Q81096|Q2732142|,,,,,,,,,,,,,,,2.0,
Q169470|Q81096|Q350979|,,,,,,,,,,,,,,,1.0,
Q169470|Q81096|Q482980|,,,,,,,,,,,,,,,2.0,
Q169470|Q81096|Q6625963|,,,,,,,,,,,,,,,1.0,
Q169470|Q81096|Q82594|,,,,,,,,,,,,,,,1.0,
Q169470|Q81096|Q901|,,,,,,,,,,,,,,,8.0,
Q169470|Q81096|Q901|Q18576582|,,,,,,,,,,,,,,,1.0,
Q169470|Q81096|Q901|Q205375|,,,,,,,,,,,,,,,4.0,
Q169470|Q81096|Q901|Q205375|Q131524|,,,,,,,,,,,,,,,1.0,
Q169470|Q8246794|,,,,,,,,,,,,,,,2.0,
Q169470|Q82594|,,,,,,,,,,,,,,,12.0,
Q169470|Q82594|Q2732142|,,,,,,,,,,,,,,,1.0,
Q169470|Q82594|Q482980|,,,,,,,,,,,,,,,3.0,
Q169470|Q82594|Q4964182|,,,,,,,,,,,,,,,1.0,
Q169470|Q82594|Q6337803|,,,,,,,,,,,,,,,1.0,
Q169470|Q82594|Q81096|,,,,,,,,,,,,,,1.0,7.0,
Q169470|Q82594|Q81096|Q2732142|,,,,,,,,,,,,,,,1.0,
Q169470|Q82955|,,,,,,,,,,,,,,1.0,54.0,
Q169470|Q82955|Q10873124|,,,,,,,,,,,,,,,1.0,
Q169470|Q82955|Q121594|,,,,,,,,,,,,,,,1.0,
Q169470|Q82955|Q1231865|,,,,,,,,,,,,,,,1.0,
Q169470|Q82955|Q193391|,,,,,,,,,,,,,,,1.0,
Q169470|Q82955|Q205375|,,,,,,,,,,,,,,,2.0,
Q169470|Q82955|Q593644|,,,,,,,,,,,,,,,1.0,
Q169470|Q82955|Q752129|Q11063|,,,,,,,,,,,,,,,1.0,
Q169470|Q82955|Q901|Q193391|,,,,,,,,,,,,,,,1.0,
Q169470|Q860918|,,,,,,,,,,,,,,,1.0,
Q169470|Q860918|Q2310145|,,,,,,,,,,,,,,,1.0,
Q169470|Q864503|,,,,,,,,,,,,,,1.0,11.0,
Q169470|Q864503|Q15839206|,,,,,,,,,,,,,,,1.0,
Q169470|Q864503|Q15956275|Q593644|Q901|Q1231865|,,,,,,,,,,,,,,,1.0,
Q169470|Q864503|Q18805|,,,,,,,,,,,,,,,1.0,
Q169470|Q864503|Q2374149|,,,,,,,,,,,,,,,1.0,
Q169470|Q864503|Q3126128|,,,,,,,,,,,,,,,1.0,
Q169470|Q864503|Q33999|,,,,,,,,,,,,,,1.0,,
Q169470|Q864503|Q42603|Q1234713|Q2374149|,,,,,,,,,,,,,,,1.0,
Q169470|Q901|,2.0,,,,,,,,,,,,,3.0,49.0,
Q169470|Q901|Q11063|Q205375|,,,,,,,,,,,,,,,1.0,
Q169470|Q901|Q170790|,,,,,,,,,,,,,,,1.0,
Q169470|Q901|Q205375|,,,,,,,,,,,,,,,6.0,
Q169470|Q901|Q205375|Q81096|,,,,,,,,,,,,,,,1.0,
Q169470|Q901|Q2310145|,,,,,,,,,,,,,,,1.0,
Q169470|Q901|Q4964182|,,,,,,,,,,,,,,,1.0,
Q169470|Q901|Q593644|,,,,,,,,,,,,,,,1.0,
Q169470|Q901|Q81096|,,,,,,,,,,,,,,,1.0,
Q169470|Q9149093|,,,,,,,,,,,,,,,3.0,
Q169470|Q937857|,,,,,,,,,,,,,,,1.0,
Q169470|Q937857|Q593644|Q4964182|,,,,,,,,,,,,,,,1.0,
Q169470|Q947873|,,,,,,,,,,,,,,,1.0,
Q169470|Q947873|Q752129|Q36180|,,,,,,,,,,,,,,,1.0,
Q16947320|,,,,,,,,,,,,,,2.0,43.0,
Q16947320|Q118865|Q201788|Q15981151|,,,,,,,,,,,,,,,1.0,
Q16947320|Q12299841|,,,,,,,,,,,,,,,1.0,
Q16947320|Q1238570|,,,,,,,,,,,,,,,7.0,
Q16947320|Q1238570|Q1231865|Q189290|,,,,,,,,,,,,,,,1.0,
Q16947320|Q1238570|Q1930187|,,,,,,,,,,,,,,,1.0,
Q16947320|Q1238570|Q193391|,,,,,,,,,,,,,,,1.0,
Q16947320|Q1238570|Q36180|,,,,,,,,,,,,,,,1.0,
Q16947320|Q1238570|Q82955|Q1231865|,,,,,,,,,,,,,,,1.0,
Q16947320|Q1493121|Q482980|,,,,,,,,,,,,,,,1.0,
Q16947320|Q1930187|,,,,,,,,,,,,,,2.0,,
Q16947320|Q1930187|Q1979607|,,,,,,,,,,,,,,,1.0,
Q16947320|Q1930187|Q482980|,,,,,,,,,,,,,,,1.0,
Q16947320|Q1930187|Q82955|,,,,,,,,,,,,,,,1.0,
Q16947320|Q193391|Q482980|,,,,,,,,,,,,,,,1.0,
Q16947320|Q201788|,,,,,,,,,,,,,,,1.0,
Q16947320|Q201788|Q188094|,,,,,,,,,,,,,,,1.0,
Q16947320|Q201788|Q482980|,,,,,,,,,,,,,,,1.0,
Q16947320|Q2306091|,,,,,,,,,,,,,,,2.0,
Q16947320|Q333634|,,,,,,,,,,,,,,,1.0,
Q16947320|Q42603|,,,,,,,,,,,,,,,1.0,
Q16947320|Q4964182|,,,,,,,,,,,,,,,1.0,
Q16947320|Q4964182|Q9385011|,,,,,,,,,,,,,,,1.0,
Q16947320|Q5428874|Q11774202|Q36180|,,,,,,,,,,,,,,,1.0,
Q16947320|Q82955|,,,,,,,,,,,,,,,2.0,
Q16947320|Q82955|Q1238570|Q188094|,,,,,,,,,,,,,,,1.0,
Q16947320|Q82955|Q1930187|,,,,,,,,,,,,,,,1.0,
Q16947320|Q82955|Q193391|,,,,,,,,,,,,,,,1.0,
Q16947320|Q82955|Q201788|,,,,,,,,,,,,,,,1.0,
Q16947320|Q82955|Q482980|,,,,,,,,,,,,,,,1.0,
Q16947320|Q901402|,,,,,,,,,,,,,,1.0,4.0,
Q16947320|Q901402|Q188094|,,,,,,,,,,,,,,,1.0,
Q16947320|Q901402|Q482980|,,,,,,,,,,,,,,,1.0,
Q16947657|,,,,,,,,,,,,,,2.0,108.0,
Q16947657|Q1028181|,,,,,,,,,,,,,,5.0,143.0,
Q16947657|Q1028181|Q10732476|,,,,,,,,,,,,,,,1.0,
Q16947657|Q1028181|Q10862983|,,,,,,,,,,,,,,,3.0,
Q16947657|Q1028181|Q1231865|Q33231|Q10862983|,,,,,,,,,,,,,,,1.0,
Q16947657|Q1028181|Q2145981|,,,,,,,,,,,,,,,1.0,
Q16947657|Q1028181|Q2516866|,,,,,,,,,,,,,,,1.0,
Q16947657|Q1028181|Q329439|,,,,,,,,,,,,,,,4.0,
Q16947657|Q1028181|Q329439|Q15296811|,,,,,,,,,,,,,,,1.0,
Q16947657|Q1028181|Q483501|,,,,,,,,,,,,,,,3.0,
Q16947657|Q1028181|Q627325|,,,,,,,,,,,,,,,1.0,
Q16947657|Q1028181|Q644687|,,,,,,,,,,,,,,,3.0,
Q16947657|Q10862983|,,,,,,,,,,,,,,,1.0,
Q16947657|Q10873124|,,,,,,,,,,,,,,,1.0,
Q16947657|Q1281618|,,,,,,,,,,,,,,1.0,2.0,
Q16947657|Q1281618|Q1028181|,,,,,,,,,,,,,,,1.0,
Q16947657|Q15296811|,,,,,,,,,,,,,,,1.0,
Q16947657|Q15296811|Q4164507|,,,,,,,,,,,,,,,1.0,
Q16947657|Q15296811|Q644687|,,,,,,,,,,,,,,,1.0,
Q16947657|Q15462162|Q482980|,,,,,,,,,,,,,,,1.0,
Q16947657|Q15966904|,,,,,,,,,,,,,,,1.0,
Q16947657|Q1607826|Q483501|,,,,,,,,,,,,,,,1.0,
Q16947657|Q1734662|,,,,,,,,,,,,,,,1.0,
Q16947657|Q175151|,,,,,,,,,,,,,,,6.0,
Q16947657|Q175151|Q2516866|,,,,,,,,,,,,,,,1.0,
Q16947657|Q1792450|Q1028181|,,,,,,,,,,,,,,,1.0,
Q16947657|Q1792450|Q201788|Q483501|,,,,,,,,,,,,,,,1.0,
Q16947657|Q182436|,,,,,,,,,,,,,,,1.0,
Q16947657|Q1930187|,,,,,,,,,,,,,,,1.0,
Q16947657|Q1930187|Q644687|Q1028181|,,,,,,,,,,,,,,,1.0,
Q16947657|Q1930187|Q82955|,,,,,,,,,,,,,,,1.0,
Q16947657|Q2374149|,,,,,,,,,,,,,,,1.0,
Q16947657|Q2516866|,,,,,,,,,,,,,,,5.0,
Q16947657|Q2516866|Q82955|,,,,,,,,,,,,,,,1.0,
Q16947657|Q329439|,,,,,,,,,,,,,,,1.0,
Q16947657|Q329439|Q1028181|,,,,,,,,,,,,,,,1.0,
Q16947657|Q329439|Q10732476|,,,,,,,,,,,,,,,1.0,
Q16947657|Q329439|Q1607826|,,,,,,,,,,,,,,,1.0,
Q16947657|Q329439|Q223575|,,,,,,,,,,,,,,,1.0,
Q16947657|Q329439|Q644687|Q1028181|,,,,,,,,,,,,,,,1.0,
Q16947657|Q33231|,,,,,,,,,,,,,,,5.0,
Q16947657|Q33231|Q1028181|,,,,,,,,,,,,,,,4.0,
Q16947657|Q33231|Q36180|,,,,,,,,,,,,,,1.0,,
Q16947657|Q33231|Q81096|Q1028181|,,,,,,,,,,,,,,,1.0,
Q16947657|Q36180|,,,,,,,,,,,,,,1.0,,
Q16947657|Q36180|Q15296811|Q644687|,,,,,,,,,,,,,,,1.0,
Q16947657|Q36180|Q644687|Q1028181|Q10862983|,,,,,,,,,,,,,,,1.0,
Q16947657|Q36834|,,,,,,,,,,,,,,,1.0,
Q16947657|Q36834|Q14915627|,,,,,,,,,,,,,,,1.0,
Q16947657|Q37226|Q15296811|,,,,,,,,,,,,,,,1.0,
Q16947657|Q42973|,,,,,,,,,,,,,,,1.0,
Q16947657|Q482980|,,,,,,,,,,,,,,,3.0,
Q16947657|Q482980|Q1028181|,,,,,,,,,,,,,,,2.0,
Q16947657|Q483501|,,,,,,,,,,,,,,1.0,2.0,
Q16947657|Q483501|Q1028181|,,,,,,,,,,,,,,,1.0,
Q16947657|Q5322166|Q483501|Q644687|Q1028181|,,,,,,,,,,,,,,,1.0,
Q16947657|Q627325|,,,,,,,,,,,,,,,1.0,
Q16947657|Q627325|Q1028181|,,,,,,,,,,,,,,,1.0,
Q16947657|Q644687|,,,,,,,,,,,,,,1.0,3.0,
Q16947657|Q644687|Q1028181|,,,,,,,,,,,,,,,9.0,
Q16947657|Q6625963|Q1028181|,,,,,,,,,,,,,,,1.0,
Q16947657|Q7541856|Q1028181|,,,,,,,,,,,,,,,1.0,
Q16947657|Q81096|,,,,,,,,,,,,,,,1.0,
Q16947657|Q82955|,,,,,,,,,,,,,,,2.0,
Q16947675|,,,,,,,,,,,,,,57.0,94.0,
Q16947675|Q13381572|,,,,,,,,,,,,,,12.0,8.0,
Q16947675|Q17307272|,,,,,,,,,,,,,,,1.0,
Q16947675|Q17562035|,,,,,,,,,,,,,,,1.0,
Q16947675|Q33999|,,,,,,,,,,,,,,,1.0,
Q16947675|Q488111|,,,,,,,,,,,,,,1.0,,
Q16947675|Q82955|,,,,,,,,,,,,,,,1.0,
Q16972334|,,,,,,,,,,,,,,,1.0,
Q16|,,,,,,,,,,,,,,,1.0,
Q170305|,,,,,,,,,,,,,,,1.0,
Q17040649|,,,,,,,,,,,,,,,3.0,
Q17040649|Q486839|,,,,,,,,,,,,,,,1.0,
Q17040649|Q49757|,,,,,,,,,,,,,,,1.0,
Q1706722|,,,,,,,,,,,,,,1.0,22.0,
Q1706722|Q16267607|,,,,,,,,,,,,,,,1.0,
Q1706722|Q4205432|,,,,,,,,,,,,,,,1.0,
Q170790|,69.0,,,,,,,,,,,,,353.0,5830.0,
Q170790|Q1028181|,,,,,,,,,,,,,,,3.0,
Q170790|Q1028181|Q42973|,,,,,,,,,,,,,,,1.0,
Q170790|Q1028181|Q4964182|,,,,,,,,,,,,,,,1.0,
Q170790|Q103163|,,,,,,,,,,,,,,,4.0,
Q170790|Q103163|Q18805|,,,,,,,,,,,,,,,1.0,
Q170790|Q103163|Q36180|,,,,,,,,,,,,,,,1.0,
Q170790|Q105186|,,,,,,,,,,,,,,,1.0,
Q170790|Q10732476|,,,,,,,,,,,,,,,1.0,
Q170790|Q10873124|,,,,,,,,,,,,,,,9.0,
Q170790|Q10873124|Q169470|Q205375|,,,,,,,,,,,,,,,1.0,
Q170790|Q10873124|Q18437198|,,,,,,,,,,,,,,,2.0,
Q170790|Q10873124|Q2732142|,,,,,,,,,,,,,,,1.0,
Q170790|Q10873124|Q482980|,,,,,,,,,,,,,,,1.0,
Q170790|Q11063|,,,,,,,,,,,,,,6.0,259.0,
Q170790|Q11063|Q1028181|Q201788|,,,,,,,,,,,,,,,1.0,
Q170790|Q11063|Q103163|,,,,,,,,,,,,,,,1.0,
Q170790|Q11063|Q11900058|,,,,,,,,,,,,,,,1.0,
Q170790|Q11063|Q11900058|Q1231865|,,,,,,,,,,,,,,,1.0,
Q170790|Q11063|Q1231865|,,,,,,,,,,,,,,,2.0,
Q170790|Q11063|Q1231865|Q36180|,,,,,,,,,,,,,,,2.0,
Q170790|Q11063|Q1234713|,,,,,,,,,,,,,,,11.0,
Q170790|Q11063|Q12360779|,,,,,,,,,,,,,,,1.0,
Q170790|Q11063|Q133485|,,,,,,,,,,,,,,,1.0,
Q170790|Q11063|Q133485|Q4964182|,,,,,,,,,,,,,,,1.0,
Q170790|Q11063|Q13582652|Q81096|,,,,,,,,,,,,,,,1.0,
Q170790|Q11063|Q14467526|Q1231865|,,,,,,,,,,,,,,,1.0,
Q170790|Q11063|Q14467526|Q14915627|Q1231865|,,,,,,,,,,,,,,,1.0,
Q170790|Q11063|Q14467526|Q482980|,,,,,,,,,,,,,,,1.0,
Q170790|Q11063|Q14467526|Q49757|Q36180|,,,,,,,,,,,,,,,1.0,
Q170790|Q11063|Q14915627|Q16031530|,,,,,,,,,,,,,,,1.0,
Q170790|Q11063|Q14915627|Q4964182|Q16031530|,,,,,,,,,,,,,,,1.0,
Q170790|Q11063|Q155647|,,,,,,,,,,,,,,,1.0,
Q170790|Q11063|Q157798|Q1607826|,,,,,,,,,,,,,,,1.0,
Q170790|Q11063|Q16031530|,,,,,,,,,,,,,,,1.0,
Q170790|Q11063|Q169470|,,,,,,,,,,,,,,,6.0,
Q170790|Q11063|Q169470|Q1231865|,,,,,,,,,,,,,,,1.0,
Q170790|Q11063|Q169470|Q482980|,,,,,,,,,,,,,,,1.0,
Q170790|Q11063|Q169470|Q4964182|,,,,,,,,,,,,,,,2.0,
Q170790|Q11063|Q169470|Q82955|,,,,,,,,,,,,,,,1.0,
Q170790|Q11063|Q169470|Q82955|Q4964182|,,,,,,,,,,,,,,,1.0,
Q170790|Q11063|Q1734662|,,,,,,,,,,,,,,,5.0,
Q170790|Q11063|Q1734662|Q39631|,,,,,,,,,,,,,,,1.0,
Q170790|Q11063|Q17486330|Q103163|,,,,,,,,,,,,,,,1.0,
Q170790|Q11063|Q17486330|Q201788|,,,,,,,,,,,,,,,1.0,
Q170790|Q11063|Q17486330|Q482980|,,,,,,,,,,,,,,,1.0,
Q170790|Q11063|Q17486330|Q4964182|Q16063546|,,,,,,,,,,,,,,,1.0,
Q170790|Q11063|Q179985|,,,,,,,,,,,,,,,1.0,
Q170790|Q11063|Q179985|Q16533|,,,,,,,,,,,,,,,1.0,
Q170790|Q11063|Q179985|Q169470|,,,,,,,,,,,,,,,1.0,
Q170790|Q11063|Q182436|Q5121550|Q482980|,,,,,,,,,,,,,,,1.0,
Q170790|Q11063|Q18663426|,,,,,,,,,,,,,,,2.0,
Q170790|Q11063|Q201788|,,,,,,,,,,,,,,,4.0,
Q170790|Q11063|Q201788|Q1234713|,,,,,,,,,,,,,,,2.0,
Q170790|Q11063|Q201788|Q4964182|Q36180|,,,,,,,,,,,,,,,1.0,
Q170790|Q11063|Q201788|Q901402|Q36180|,,,,,,,,,,,,,,,1.0,
Q170790|Q11063|Q2310145|,,,,,,,,,,,,,,,2.0,
Q170790|Q11063|Q2732142|,,,,,,,,,,,,,,1.0,2.0,
Q170790|Q11063|Q333634|,,,,,,,,,,,,,,,2.0,
Q170790|Q11063|Q36180|,,,,,,,,,,,,,,,3.0,
Q170790|Q11063|Q36180|Q4964182|,,,,,,,,,,,,,,,2.0,
Q170790|Q11063|Q3621491|,,,,,,,,,,,,,,,1.0,
Q170790|Q11063|Q39631|,,,,,,,,,,,,,,,5.0,
Q170790|Q11063|Q39631|Q1231865|,,,,,,,,,,,,,,,1.0,
Q170790|Q11063|Q42603|,,,,,,,,,,,,,,,2.0,
Q170790|Q11063|Q42603|Q193391|Q4964182|Q36180|Q2259532|,,,,,,,,,,,,,,,1.0,
Q170790|Q11063|Q42973|,,,,,,,,,,,,,,,1.0,
Q170790|Q11063|Q4964182|,,,,,,,,,,,,,,,7.0,
Q170790|Q11063|Q4964182|Q193391|,,,,,,,,,,,,,,,1.0,
Q170790|Q11063|Q49757|Q182436|Q201788|Q36180|Q14915627|Q16031530|,,,,,,,,,,,,,,,1.0,
Q170790|Q11063|Q49757|Q36180|Q4964182|Q639669|,,,,,,,,,,,,,,,1.0,
Q170790|Q11063|Q49757|Q482980|,,,,,,,,,,,,,,,1.0,
Q170790|Q11063|Q81096|,,,,,,,,,,,,,,,4.0,
Q170790|Q11063|Q81096|Q105186|,,,,,,,,,,,,,,,1.0,
Q170790|Q11063|Q81096|Q1231865|Q1734662|,,,,,,,,,,,,,,,1.0,
Q170790|Q11063|Q82955|,,,,,,,,,,,,,,,1.0,
Q170790|Q11063|Q82955|Q482980|,,,,,,,,,,,,,,1.0,,
