,nan,transgender female,intersex,fa'afafine,transgender,American football player,Gender fluid,sociologist,transgender male,female creature,male creature,woman,genderqueer,female,male,kathoey
Q1028181|Q1281618|Q1248362|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1281618|Q13365770|Q644687|Q10862983|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1281618|Q14623005|Q15966904|Q36180|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1281618|Q15296811|,,,,,,,,,,,,,,,3.0,
Q1028181|Q1281618|Q15296811|Q16947657|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1281618|Q15966904|,,,,,,,,,,,,,,2.0,1.0,
Q1028181|Q1281618|Q16947657|Q739437|Q18814623|,,,,,,,,,,,,,,1.0,,
Q1028181|Q1281618|Q170790|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1281618|Q1708232|,,,,,,,,,,,,,,1.0,3.0,
Q1028181|Q1281618|Q1734662|Q5322166|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1281618|Q17505902|Q329439|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1281618|Q1792450|Q329439|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1281618|Q18921227|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1281618|Q1900167|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1281618|Q19435686|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1281618|Q205375|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1281618|Q211423|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1281618|Q2145981|,,,,,,,,,,,,,,,2.0,
Q1028181|Q1281618|Q2205972|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1281618|Q2490358|,,,,,,,,,,,,,,,2.0,
Q1028181|Q1281618|Q2526255|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1281618|Q2629392|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1281618|Q2707485|,,,,,,,,,,,,,,,4.0,
Q1028181|Q1281618|Q2865819|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1281618|Q3055126|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1281618|Q329439|,,,,,,,,,,,,,,,15.0,
Q1028181|Q1281618|Q329439|Q15966904|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1281618|Q329439|Q1708232|Q211423|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1281618|Q33231|,,,,,,,,,,,,,,,11.0,
Q1028181|Q1281618|Q333634|Q483501|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1281618|Q3391743|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1281618|Q3391743|Q36180|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1281618|Q33999|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1281618|Q36180|,,,,,,,,,,,,,,,10.0,
Q1028181|Q1281618|Q36180|Q15966904|,,,,,,,,,,,,,,1.0,,
Q1028181|Q1281618|Q36180|Q1792450|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1281618|Q36180|Q33999|Q483501|Q2526255|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1281618|Q36180|Q42973|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1281618|Q36180|Q483501|,,,,,,,,,,,,,,1.0,,
Q1028181|Q1281618|Q3658608|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1281618|Q36834|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1281618|Q37226|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1281618|Q39631|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1281618|Q4164507|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1281618|Q4199058|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1281618|Q42973|,,,,,,,,,,,,,,,22.0,
Q1028181|Q1281618|Q42973|Q1792450|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1281618|Q42973|Q36180|Q3658608|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1281618|Q42973|Q998628|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1281618|Q482980|,,,,,,,,,,,,,,2.0,14.0,
Q1028181|Q1281618|Q482980|Q33231|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1281618|Q482980|Q644687|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1281618|Q483501|,,,,,,,,,,,,,,,11.0,
