,qid,dob,dod,name,text
2020969,Q1512456,1928.0,2013.0,Gerhard Schmid (Archivar),"Gerhard Schmid (* 20. Juli 1928 in Greiz; † 1. Januar 2013 in Weimar, ""Weimar: Trauer um Professor Schmid und Maler Oeser"") war ein deutscher Archivar und Archivwissenschaftler.

Schmid studierte von "
2020994,Q1512582,1927.0,1998.0,Gerhard Steffens,"Gerhard Steffens (* 2. Oktober 1927 in Bad Breisig; † 3. Februar 1998 ebenda) war ein deutscher Politiker (CDU).

 Leben und Wirken 

Gerhard Steffens erlernte den Beruf eines Försters. 

Er war seit "
2021015,Q1512666,1926.0,,Gerhard Trölitzsch,"Gerhard Trölitzsch (* 2. März 1926 in Oberfrohna) ist ein ehemaliger deutscher Politiker (SED).

 Leben 
Trölitzsch, Sohn eines Zimmermanns und einer Näherin, besuchte von 1932 bis 1940 die Volksschul"
2021029,Q1512766,1928.0,1992.0,Gerhard Wind," Gerhard Wind  (* 22. Januar 1928 in Hamburg, Deutschland; † 1992 in Jávea bei Alicante, Spanien), war ein deutscher Maler und Grafiker.

 Leben 
Gerhard Wind machte eine Buchhändlerlehre, die er im J"
2021032,Q1512777,1926.0,1998.0,Gerhard Wittner,"Gerhard Wittner (* 23. September 1926 in Heidelberg; † 21. Oktober 1998 in Frankfurt am Main) war ein deutscher Maler und Zeichner und Grafiker.

 Leben und Werk 
Wittner lebte seit seiner Jugend in F"
2021052,Q1512924,1926.0,,Gerhart Banco,"Gerhart Banco (* 26. April 1926 in Wien) ist österreichischer Blasmusik-Komponist, Musikpädagoge und Kirchenmusiker.

 Leben 
Von 1947 bis 1971 war Banco Pflichtschullehrer, von 1960 bis 1989 Musiksch"
2021082,Q1513546,1926.0,,Wilhelm Koch (Heimatforscher),"Wilhelm Koch (* 18. Januar 1926 in Dietenhofen) ist ein deutscher Beamter, Heimatforscher und Buchautor.

 Leben  
Wilhelm Koch verbrachte seine Jugend- und Schulzeit in Eichstätt und Ansbach, wo er d"
2021119,Q1514308,1928.0,,Jürgen Diestelmann,Jürgen Diestelmann (* 1928 in Coburg) ist ein deutscher evangelisch-lutherischer Theologe. Er ist vor allem durch historisch-theologische Untersuchungen zu Lehre und Praxis des heiligen Abendmahls bei
2021294,Q1516260,1930.0,,Rudi Sehring,"Rudi Sehring (* 13. Juni 1930 in Langen (Hessen)) ist ein deutscher Jazzschlagzeuger.

Sehring wurde 1949 Mitglied der Joe Klimm Combo. 1953 wechselte er mit Albert Mangelsdorff ins Quintett von Hans "
2021311,Q1516804,1928.0,2014.0,Karl Ernst Nipkow,"mini|Karl Ernst Nipkow, 2010
Karl Ernst Nipkow (* 19. Dezember 1928 in Bielefeld; † 13. Februar 2014 in Marburg) war ein deutscher Theologe, Religionspädagoge und Erziehungswissenschaftler.

 Leben 
N"
2021408,Q1519915,1927.0,,Klaus Thiessen,"thumb|Klaus Thiessen (2014)
Klaus Thiessen (* 27. Juli 1927 in Göttingen) ist ein deutscher Physiker.

 Wissenschaftlicher Werdegang 

Thiessen wurde am 27. Juli 1927 als Sohn des Physikochemikers Pet"
2021430,Q1520675,1926.0,1998.0,Ingeborg Feustel,"Ingeborg Feustel, geborene Baumann, (* 1. Januar 1926 in Berlin; † 23. November 1998 in Blankenfelde) war eine deutsche Schriftstellerin. Ihre Kinderbücher und Texte für Rundfunk und Fernsehen erreich"
2021514,Q1522327,1929.0,,Martin Grüner,"thumb|Martin Grüner in 2007. 
Martin Grüner (born July 19, 1929) is a former German politician and member of the Free Democratic Party (FDP). Hailing from Schramberg, he was Parliamentary Secretary at"
2021605,Q1523679,1928.0,2010.0,Gigi Campi,"Pierluigi „Gigi“ Campi (* 15. Dezember 1928 in Köln; † 6. Januar 2010) war ein in Köln lebender italienischer Jazz-Produzent, Architekt und Gastronom.

 Leben 
Campis Eltern Paolo und Nuccia Campi mus"
2021655,Q1524085,1930.0,,Laurens Spethmann,"Laurens H. C. Spethmann (* 16. Juli 1930 in Hamburg) ist ein deutscher Unternehmer. 

 Leben und Wirken 
Spethmann wurde 1953 im Alter von 23 Jahren Geschäftsführer der Ostfriesischen Tee Gesellschaft"
