,bls_occupation,wd_occupation,Unnamed: 0,n,p_women,p_black,p_asian,p_hispanic,aggregate,y.n,conjunction,search_term,uncertain_search_term,multiple_search_terms
261,Electrical power-line installers and repairers,,406,110000,2.4,7.8,0.3,7.9,False,False,False,,False,False
262,Industrial production managers,,12,261000,17.6,3.4,5.1,11.4,False,False,False,,False,False
263,Food preparation workers,,226,868000,58.0,12.1,5.7,27.5,False,False,False,,False,False
264,"Bailiffs, correctional officers, and jailers",,211,371000,28.0,22.7,1.1,18.3,False,False,False,,False,False
265,Other healthcare practitioners and technical occupations,,193,75000,50.3,8.8,3.1,5.6,False,False,False,,False,False
266,Food batchmakers,,427,84000,59.6,12.2,5.7,33.5,False,False,False,,False,False
267,Human resources workers,,37,603000,71.8,15.4,4.4,11.8,False,True,False,HR?,True,False
268,"Meeting, convention, and event planners",,42,127000,73.3,8.1,4.2,10.3,False,False,False,,False,False
269,Respiratory therapists,,174,111000,60.4,12.1,5.6,10.6,False,False,False,,False,False
270,Precision instrument and equipment repairers,,408,60000,16.0,9.1,1.1,13.3,False,False,False,,False,False
271,Medical records and health information technicians,,190,90000,89.3,17.1,4.3,15.6,False,False,False,,False,False
272,Printing press operators,,452,201000,17.2,10.1,3.4,15.6,False,False,False,,False,False
273,Construction and building inspectors,,365,118000,7.8,5.5,2.1,7.7,False,True,False,building inspector,False,False
274,Automotive service technicians and mechanics,,394,867000,1.2,9.6,4.7,21.3,False,True,False,mechanic,False,False
275,Database administrators,,65,101000,36.6,4.1,10.0,9.8,False,False,False,,False,False
276,Helpers--production workers,,497,59000,34.8,19.8,2.9,30.6,False,False,False,,False,False
277,Nurse practitioners,,182,103000,86.1,4.5,4.6,2.9,False,True,False,nurse practitioner,False,False
278,"Office clerks, general",,327,1103000,83.4,12.4,5.0,16.9,False,False,False,,False,False
279,"Bookkeeping, accounting, and auditing clerks",,286,1268000,89.1,7.6,5.0,9.0,False,True,False,,False,False
280,"Business operations specialists, all other","entrepreneur
, financier",45,251000,67.3,14.2,5.6,9.2,False,False,False,,False,False
281,Computer support specialists,,64,476000,27.1,12.0,7.7,9.7,False,True,False,IT,False,False
282,"Eligibility interviewers, government programs",,297,92000,81.4,19.8,2.1,23.1,False,False,False,,False,False
283,"Court, municipal, and license clerks",,294,85000,77.2,23.0,1.2,13.4,False,False,False,,False,False
284,Laundry and dry-cleaning workers,,454,185000,53.3,20.8,10.3,37.1,False,False,False,,False,False
285,Environmental scientists and geoscientists,,103,105000,25.7,7.0,1.3,1.7,False,False,False,,False,False
286,Small engine mechanics,,397,56000,1.4,4.9,0.2,12.2,False,True,False,mechanic,False,False
287,"Computer occupations, all other",,68,341000,24.4,11.4,11.7,5.9,False,False,False,,False,False
288,Recreation and fitness workers,,259,406000,66.5,10.0,4.5,9.7,False,True,False,personal trainer?,True,False
289,Financial managers,,8,1228000,53.5,8.6,5.7,10.3,False,False,False,,False,False
290,Supervisors of transportation and material moving workers,,499,200000,23.0,13.5,4.4,18.4,False,False,False,,False,False
291,Structural iron and steel workers,,362,65000,2.8,6.5,0.0,15.8,False,False,False,,False,False
292,"Interviewers, except eligibility and loan",,300,135000,83.7,20.0,6.0,12.1,False,False,False,,False,False
293,Computer control programmers and operators,,430,67000,8.4,6.4,3.3,17.1,False,False,False,,False,False
294,Computer operators,,321,102000,50.7,12.2,6.5,10.7,False,False,False,,False,False
295,Miscellaneous social scientists and related workers,"social scientist
, humanities scholar",110,57000,54.3,10.8,5.5,7.0,False,False,False,,False,False
296,Pest control workers,,240,73000,4.7,7.7,0.1,20.4,False,True,False,exterminator,False,False
297,Packaging and filling machine operators and tenders,,486,261000,52.3,14.1,8.8,38.0,False,False,False,,False,False
298,"Cement masons, concrete finishers, and terrazzo workers",,346,68000,2.7,5.8,3.1,53.3,False,True,False,,False,False
299,Physician assistants,,167,108000,69.4,8.2,9.0,8.8,False,False,False,,False,False
300,Dishwashers,,233,271000,18.7,12.9,5.5,40.5,False,True,False,dishwasher,False,False
301,Miscellaneous personal appearance workers,,254,300000,81.5,5.3,59.6,9.5,False,False,False,,False,False
302,First-line supervisors of construction trades and extraction workers,,341,634000,2.8,4.5,1.3,14.0,False,True,False,foreman?,True,False
303,"Lifeguards and other recreational, and all other protective service workers",,222,162000,52.6,7.8,1.2,9.2,False,True,False,,False,False
304,"Managers, all other",,29,3594000,35.0,7.3,5.0,9.3,False,False,False,,False,False
305,Retail salespersons,,267,3341000,50.2,12.5,4.4,15.3,False,False,False,,False,False
306,First-line supervisors of housekeeping and janitorial workers,,236,277000,47.1,16.9,3.3,21.7,False,False,False,,False,False
307,Photographic process workers and processing machine operators,,488,55000,45.6,13.3,4.9,18.7,False,False,False,,False,False
308,Advertising sales agents,,268,230000,47.4,9.9,2.3,7.6,False,False,False,,False,False
309,Architectural and engineering managers,,18,120000,10.9,2.8,7.7,2.9,False,False,False,,False,False
310,"Production workers, all other",,498,933000,26.3,13.7,4.0,21.5,False,False,False,,False,False
311,Childcare workers,,257,1314000,94.1,15.3,3.3,20.3,False,True,False,childcare worker,False,False
312,Insurance claims and policy processing clerks,,325,230000,81.9,12.7,3.6,13.7,False,False,False,,False,False
313,"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",,436,54000,6.6,13.7,0.7,21.8,False,False,False,,False,False
314,"Claims adjusters, appraisers, examiners, and investigators",,34,323000,63.4,17.5,3.1,10.3,False,True,False,claims adjuster,False,False
315,"Miscellaneous life, physical, and social science technicians",,117,160000,52.8,12.8,14.4,10.4,False,False,False,,False,False
316,Announcers,,150,50000,23.6,12.0,8.3,15.3,False,True,False,announcer,False,False
317,Medical scientists,,98,136000,52.8,5.3,22.4,5.8,False,False,False,,False,False
318,Loan interviewers and clerks,,302,144000,81.2,10.9,4.0,10.4,False,False,False,,False,False
319,"Electrical, electronics, and electromechanical assemblers",,420,166000,52.8,13.4,16.3,24.0,False,False,False,,False,False
320,"Religious workers, all other",nun,125,69000,62.4,10.0,2.8,8.9,False,False,False,,False,False
321,File clerks,,298,292000,81.3,14.1,4.6,16.4,False,False,False,,False,False
322,Refuse and recyclable material collectors,,531,106000,6.6,24.9,1.4,29.4,False,True,False,garbage collector,False,False
323,Lodging managers,,22,154000,45.0,8.0,13.9,11.5,False,False,False,,False,False
324,First-line supervisors of personal service workers,,243,246000,70.3,10.7,19.8,9.3,False,False,False,,False,False
325,Medical and health services managers,,23,585000,69.7,10.9,5.1,8.1,False,False,False,,False,False
326,Real estate brokers and sales agents,,275,761000,57.1,4.0,4.7,8.7,False,True,False,real estate agent,False,False
327,"Information and record clerks, all other",,308,104000,80.2,17.0,2.5,13.4,False,False,False,,False,False
328,Railroad conductors and yardmasters,,510,52000,5.6,16.2,0.7,12.5,False,True,False,,False,False
329,Dental assistants,,198,274000,97.9,9.6,3.6,21.2,False,False,False,,False,False
330,Travel agents,,271,73000,79.0,2.5,9.3,4.8,False,True,False,travel agent,False,False
331,Parts salespersons,,266,106000,13.3,8.3,4.1,12.3,False,False,False,,False,False
332,Automotive and watercraft service attendants,,517,94000,9.2,12.9,5.2,12.5,False,False,False,,False,False
