,bls_occupation,wd_occupation,Unnamed: 0,n,p_women,p_black,p_asian,p_hispanic,aggregate,y.n,conjunction,search_term,uncertain_search_term,multiple_search_terms
53,"Athletes, coaches, umpires, and related workers",,146,267000,36.5,6.4,1.4,9.0,False,True,False,,False,False
54,Occupational therapists,,170,118000,94.0,2.5,4.0,5.8,False,False,False,,False,False
55,First-line supervisors of fire fighting and prevention workers,,207,64000,0.5,10.7,0.0,6.6,False,False,False,,False,False
56,"Property, real estate, and community association managers",,26,644000,50.7,8.5,3.4,11.4,False,False,False,,False,False
57,Payroll and timekeeping clerks,,288,155000,92.6,9.5,4.6,15.1,False,False,False,,False,False
58,Education administrators,,17,811000,64.4,13.8,2.2,7.9,False,False,False,,False,False
59,Health practitioner support technologists and technicians,,188,544000,83.6,15.8,5.9,12.2,False,False,False,,False,False
60,Stationary engineers and boiler operators,,475,121000,5.5,10.4,4.3,13.8,False,False,False,,False,False
61,Dispatchers,,311,277000,61.5,13.5,2.3,16.7,False,False,False,,False,False
62,"Pipelayers, plumbers, pipefitters, and steamfitters",,357,534000,1.3,6.6,1.5,20.9,False,True,False,plumber,False,False
63,"Computer, automated teller, and office machine repairers",,382,296000,10.7,10.8,7.2,9.9,False,False,False,,False,False
64,Postal service mail carriers,,314,318000,37.7,16.5,6.7,8.8,False,True,False,mail carrier,False,False
65,Taxi drivers and chauffeurs,,506,336000,13.2,24.8,13.8,16.0,False,True,False,taxi driver,False,False
66,Chiropractors,,161,58000,22.3,0.0,3.5,4.0,False,True,False,chiropractor,False,False
67,"Carpet, floor, and tile installers and finishers",,345,150000,2.2,8.8,0.4,37.8,False,False,False,,False,False
68,"Drywall installers, ceiling tile installers, and tapers",,351,129000,0.3,2.7,0.0,62.0,False,False,False,,False,False
69,"Personal care and service workers, all other",,261,95000,45.7,5.5,3.3,17.5,False,False,False,,False,False
70,Civil engineers,,80,358000,13.7,5.4,9.0,3.7,False,True,False,"civil engineer,engineer",False,True
71,Electronic home entertainment equipment installers and repairers,,389,50000,0.5,11.6,4.3,13.2,False,False,False,,False,False
72,Cashiers,,264,3275000,71.8,17.2,7.3,19.9,False,True,False,cashier,False,False
73,"Other installation, maintenance, and repair workers",,417,205000,3.6,5.9,1.4,21.2,False,False,False,,False,False
74,"Industrial engineers, including health and safety",,84,197000,18.8,6.2,9.6,10.5,False,False,False,,False,False
75,Crane and tower operators,,522,62000,4.0,12.3,0.9,12.2,False,True,False,crane operator,False,False
76,Mechanical engineers,,87,288000,4.5,6.3,12.3,4.9,False,True,False,"mechanical engineer,engineer",False,True
77,"Transportation, storage, and distribution managers",,14,287000,15.6,11.1,3.3,11.3,False,False,False,,False,False
78,Preschool and kindergarten teachers,,132,678000,98.1,11.8,4.2,12.0,False,True,True,kindergarten teacher,False,False
79,Marketing and sales managers,,4,967000,45.2,4.2,6.0,6.1,False,False,False,,False,False
80,First-line supervisors of non-retail sales workers,,263,1151000,24.7,7.2,5.0,10.4,False,False,False,,False,False
81,Barbers,,252,109000,21.9,38.2,2.5,24.1,False,True,False,barber,False,False
82,Paralegals and legal assistants,,129,418000,85.9,10.7,4.6,17.0,False,True,False,paralegal,False,False
83,"Heating, air conditioning, and refrigeration mechanics and installers",,400,340000,1.6,7.1,3.2,16.2,False,True,False,mechanic,False,False
84,Food service managers,,19,1085000,47.2,8.8,9.5,16.5,False,False,False,,False,False
85,Cost estimators,,36,114000,11.7,1.5,2.0,6.8,False,False,False,,False,False
86,Chefs and head cooks,,223,403000,21.5,11.9,14.2,18.6,False,True,False,chef,False,False
87,Bakers,,424,199000,53.9,15.6,5.1,28.4,False,True,False,baker,False,False
88,Producers and directors,,145,121000,40.8,8.2,3.3,4.9,False,True,False,,False,False
89,"Laborers and freight, stock, and material movers, hand",,527,1849000,18.7,15.9,2.5,23.0,False,False,False,,False,False
90,Dining room and cafeteria attendants and bartender helpers,,232,359000,43.4,10.0,5.5,31.7,False,False,False,,False,False
91,"First-line supervisors of mechanics, installers, and repairers",,381,292000,5.9,11.3,1.0,10.4,False,False,False,,False,False
92,"Tailors, dressmakers, and sewers",tailor,459,86000,77.1,5.9,19.5,24.9,False,True,False,,False,False
93,"Sales representatives, services, all other",,272,457000,31.0,7.9,3.7,10.1,False,False,False,,False,False
94,Construction managers,,16,983000,6.4,3.7,2.2,9.4,False,True,False,Foreman?,True,False
95,Crossing guards,,220,61000,55.3,19.7,1.8,16.1,False,True,False,crossing guard,False,False
96,Drafters,,92,149000,16.6,3.0,7.7,9.9,False,True,False,drafter,False,False
97,"Miscellaneous healthcare support occupations, including medical equipment preparers",,204,166000,69.0,21.9,4.0,9.9,False,False,False,,False,False
98,"Compensation, benefits, and job analysis specialists",,38,71000,81.1,6.9,4.2,11.8,False,False,False,,False,False
99,Insurance underwriters,,52,103000,70.4,10.7,0.7,10.2,False,False,False,,False,False
100,Administrative services managers,,6,144000,44.1,6.4,4.4,9.5,False,False,False,,False,False
101,"Combined food preparation and serving workers, including fast food",,228,343000,64.9,14.1,3.1,18.0,False,False,False,,False,False
102,Registered nurses,,179,2875000,90.6,11.5,7.3,6.2,False,True,False,nurse,False,False
103,Miscellaneous legal support workers,,130,223000,79.0,11.9,1.4,7.0,False,False,False,,False,False
104,Massage therapists,,197,158000,81.5,5.4,7.7,12.0,False,True,False,massage therapist,False,False
105,"Farmers, ranchers, and other agricultural managers","farmer, rancher",15,944000,24.5,0.8,1.2,4.0,False,False,False,,False,False
106,Market research analysts and marketing specialists,,44,219000,54.2,5.4,9.1,4.7,False,False,False,,False,False
107,Management analysts,,41,773000,39.8,6.8,8.8,4.4,False,False,False,,False,False
108,"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",,398,87000,1.8,8.0,0.0,31.4,False,True,False,mechanic,False,False
109,"Purchasing agents, except wholesale, retail, and farm products",,33,261000,55.1,6.1,4.4,9.8,False,False,False,,False,False
110,Medical assistants,,199,429000,93.8,15.0,3.8,22.9,False,False,False,,False,False
111,Order clerks,,304,104000,58.2,5.8,4.1,21.3,False,False,False,,False,False
112,"Other education, training, and library workers",,141,153000,67.3,11.7,2.5,11.8,False,False,False,,False,False
113,"Graders and sorters, agricultural products",,335,118000,59.8,16.6,2.1,58.0,False,False,False,,False,False
114,"Surveyors, cartographers, and photogrammetrists",,75,51000,27.8,4.3,5.4,8.1,False,True,True,surveyor,False,False
115,"Human resources assistants, except payroll and timekeeping",,305,132000,82.7,18.3,1.9,7.9,False,False,False,,False,False
116,Budget analysts,,48,55000,52.5,11.5,8.7,8.2,False,False,False,,False,False
117,Mining machine operators,,376,65000,0.3,3.8,0.0,17.2,False,False,False,,False,False
118,Data entry keyers,,322,337000,77.0,14.0,5.1,13.8,False,False,False,,False,False
119,Telecommunications line installers and repairers,,407,177000,4.8,11.2,1.9,15.7,False,False,False,,False,False
120,Compliance officers,,35,199000,50.6,9.1,3.3,8.2,False,False,False,,False,False
121,Computer systems analysts,,59,499000,30.9,8.8,15.8,4.5,False,False,False,,False,False
122,Chemical technicians,,113,70000,29.9,15.4,4.8,7.4,False,False,False,,False,False
123,Medical transcriptionists,,200,55000,98.2,7.0,0.3,4.0,False,False,False,,False,False
124,"Chemical processing machine setters, operators, and tenders",,478,68000,16.2,4.5,0.8,10.7,False,False,False,,False,False
125,Public relations and fundraising managers,,5,58000,69.3,5.8,3.4,8.0,False,False,False,,False,False
126,"Painters, construction and maintenance",,355,485000,5.5,5.5,2.0,42.6,False,True,False,building painter,False,False
127,Industrial and refractory machinery mechanics,,402,454000,1.9,4.5,2.9,13.3,False,True,False,mechanic,False,False
128,Counter and rental clerks,,265,139000,53.4,8.9,5.2,19.6,False,False,False,,False,False
