,nan,transgender female,intersex,fa'afafine,transgender male,female animal,male animal,woman,genderqueer,female,male,kathoey
Q100123,,,,,,,,,,2.0,15.0,
Q1001231,,,,,,,,,,,3.0,
Q100124,,,,,,,,,,,1.0,
Q1001243,,,,,,,,,,,2.0,
Q100125,,,,,,,,,,,2.0,
Q1001267,,,,,,,,,,1.0,,
Q100128,,,,,,,,,,,1.0,
Q100129,,,,,,,,,,,1.0,
Q1001297,,,,,,,,,,,3.0,
Q10013,,,,,,,,,,2.0,2.0,
Q100130,,,,,,,,,,,3.0,
Q1001307,,,,,,,,,,,6.0,
Q100131,,,,,,,,,,,2.0,
Q1001315,,,,,,,,,,1.0,1.0,
Q1001316,,,,,,,,,,,3.0,
Q1001322,,,,,,,,,,,2.0,
Q1001326,,,,,,,,,,1.0,4.0,
Q100133,,,,,,,,,,,4.0,
Q1001339,,,,,,,,,,,3.0,
Q100135,,,,,,,,,,,1.0,
Q1001369,,,,,,,,,,1.0,,
Q1001370,,,,,,,,,,,1.0,
Q10014,,,,,,,,,,3.0,19.0,
Q1001408,,,,,,,,,,,1.0,
Q100141,,,,,,,,,,1.0,2.0,
Q1001416,,,,,,,,,,1.0,9.0,
Q100143,,,,,,,,,,,2.0,
Q1001436,,,,,,,,,,,1.0,
Q1001440,,,,,,,,,,1.0,3.0,
Q1001448,,,,,,,,,,,2.0,
Q100145,,,,,,,,,,,25.0,
Q1001456,,,,,,,,,,,3.0,
Q100146,,,,,,,,,,,3.0,
Q1001461,,,,,,,,,,,1.0,
Q1001465,,,,,,,,,,1.0,1.0,
Q1001470,,,,,,,,,,,1.0,
Q1001473,,,,,,,,,,1.0,1.0,
Q1001478,,,,,,,,,,,2.0,
Q1001483,,,,,,,,,,,1.0,
Q1001489,,,,,,,,,,,2.0,
Q1001496,,,,,,,,,,,5.0,
Q10015,,,,,,,,,,2.0,1.0,
Q1001501,,,,,,,,,,1.0,2.0,
Q1001505,,,,,,,,,,,4.0,
Q1001517,,,,,,,,,,,1.0,
Q100152,,,,,,,,,,,1.0,
Q1001522,,,,,,,,,,,5.0,
Q1001536,,,,,,,,,,1.0,,
Q1001571,,,,,,,,,,,8.0,
Q100158,,,,,,,,,,1.0,,
Q1001582,,,,,,,,,,,1.0,
Q1001591,,,,,,,,,,,1.0,
Q10016,,,,,,,,,,2.0,10.0,
Q1001600,,,,,,,,,,,2.0,
Q100161,,,,,,,,,,,2.0,
Q1001613,,,,,,,,,,,1.0,
Q1001626,,,,,,,,,,2.0,1.0,
Q1001632,,,,,,,,,,1.0,2.0,
Q1001639,,,,,,,,,,1.0,5.0,
Q1001647,,,,,,,,,,,1.0,
Q100165,,,,,,,,,,,2.0,
Q1001654,,,,,,,,,,,1.0,
Q100166,,,,,,,,,,,6.0,
Q1001665,,,,,,,,,,,1.0,
Q100167,,,,,,,,,,,2.0,
Q10017,,,,,,,,,,,2.0,
Q100170,,,,,,,,,,,1.0,
Q1001710,,,,,,,,,,,1.0,
Q1001733,,,,,,,,,,,2.0,
Q1001742,,,,,,,,,,2.0,9.0,
Q1001754,,,,,,,,,,,2.0,
Q1001761,,,,,,,,,,,1.0,
Q1001762,,,,,,,,,,,3.0,
Q1001773,,,,,,,,,,,1.0,
Q1001828,,,,,,,,,,,4.0,
Q100188,3.0,,,,,,,,,21.0,73.0,
Q1001887,,,,,,,,,,,1.0,
Q1001891,,,,,,,,,,1.0,11.0,
Q10019,,,,,,,,,,,2.0,
Q1001905,,,,,,,,,,1.0,8.0,
Q1001914,,,,,,,,,,,3.0,
Q1001927,,,,,,,,,,,1.0,
Q1001935,,,,,,,,,,,7.0,
Q1001939,,,,,,,,,,1.0,,
Q1001941,,,,,,,,,,,1.0,
Q1001942,,,,,,,,,,,3.0,
Q100195,,,,,,,,,,,1.0,
Q1001959,,,,,,,,,,,1.0,
Q100199,,,,,,,,,,,2.0,
Q1001991,,,,,,,,,,,2.0,
Q10020,,,,,,,,,,,1.0,
Q1002052,,,,,,,,,,,4.0,
Q1002061,,,,,,,,,,,1.0,
Q1002083,,,,,,,,,,,1.0,
Q1002092,,,,,,,,,,,1.0,
Q1002110,,,,,,,,,,,1.0,
Q1002115,,,,,,,,,,,3.0,
Q1002117,,,,,,,,,,,1.0,
Q1002118,,,,,,,,,,,1.0,
Q1002124,,,,,,,,,,2.0,13.0,
Q1002133,,,,,,,,,,,5.0,
Q1002140,,,,,,,,,,1.0,4.0,
Q1002144,,,,,,,,,,3.0,1.0,
Q1002149,,,,,,,,,,,1.0,
Q1002157,,,,,,,,,,,1.0,
Q1002162,,,,,,,,,,,2.0,
Q1002171,,,,,,,,,,1.0,,
Q1002177,,,,,,,,,,,5.0,
Q1002183,,,,,,,,,,,6.0,
Q1002188,,,,,,,,,,,7.0,
Q10022,,,,,,,,,,,1.0,
Q1002205,,,,,,,,,,3.0,,
Q1002286,,,,,,,,,,,2.0,
Q10023,,,,,,,,,,,1.0,
Q1002315,,,,,,,,,,,1.0,
Q1002388,,,,,,,,,,1.0,4.0,
Q1002394,,,,,,,,,,,2.0,
Q10024,,,,,,,,,,,1.0,
Q1002403,,,,,,,,,,,1.0,
Q1002414,,,,,,,,,,,1.0,
Q1002425,,,,,,,,,,,1.0,
Q1002432,,,,,,,,,,1.0,,
Q1002438,,,,,,,,,,,2.0,
Q1002445,,,,,,,,,,,2.0,
Q1002490,,,,,,,,,,2.0,19.0,
Q1002499,,,,,,,,,,,2.0,
Q10025,,,,,,,,,,3.0,1.0,
Q1002506,,,,,,,,,,,2.0,
Q1002525,,,,,,,,,,2.0,1.0,
Q1002537,,,,,,,,,,,1.0,
Q1002577,,,,,,,,,,1.0,6.0,
Q1002580,,,,,,,,,,,3.0,
Q1002583,,,,,,,,,,,1.0,
Q1002615,,,,,,,,,,1.0,2.0,
