,nan,transgender male,female,male
Q128115|Q34508|,,,1.0,
Q12818349|,,,,8.0
Q12818349|Q280817|,,,,1.0
Q12818349|Q280817|Q335414|Q2321196|,,,,1.0
Q12818349|Q280817|Q9603|Q2737409|Q484181|,,,,1.0
Q12818349|Q335414|,,,,3.0
Q12818349|Q484181|Q335414|Q2737409|,,,,1.0
Q12818349|Q484181|Q335414|Q2737409|Q9603|Q7163|,,,,1.0
Q12818349|Q5891|,,,,1.0
Q12818349|Q601401|,,,,1.0
Q12831143|,,,,1.0
Q12860724|,,,1.0,
Q128758|,,,,1.0
Q1287|,,,,1.0
Q1287|Q271588|,,,,1.0
Q12882396|Q64418|,,,,1.0
Q1288557|,,,,1.0
Q12912932|Q235258|Q1172458|Q484181|Q9603|,,,,1.0
Q1296423|,,,,1.0
Q130436|Q718714|Q163900|,1.0,,,
Q130693|,,,1.0,
Q131089|Q134435|,,,,1.0
Q1311612|Q482980|,,,,1.0
Q131207|,,,2.0,
Q131222|,,,,1.0
Q13142624|,,,,1.0
Q131476|,,,5.0,63.0
Q131476|Q12479|,,,,3.0
Q131476|Q42989|,,,,2.0
Q131476|Q874429|,,,,3.0
Q131479|,,,,1.0
Q131524|,,,,2.0
Q131539|,,,2.0,1.0
Q131539|Q170593|,,,,1.0
Q131683|Q843900|,,,,1.0
Q1317534|,,,,1.0
Q132151|Q23498|Q187097|,,,,1.0
Q132151|Q7922|,,,,1.0
Q132151|Q7922|Q156035|,,,,1.0
Q13220368|,,,,1.0
Q1323572|,,,1.0,
Q132364|,,,,1.0
Q132438|,,,1.0,
Q1324964|,,,,1.0
Q132659|,,,,1.0
Q1328688|,,,1.0,
Q1329946|,,,1.0,
Q133036|,,,,1.0
Q133080|,,,,1.0
Q1332231|Q201486|,,,,1.0
Q1333872|Q486902|,,,,1.0
Q13360823|,,,,1.0
Q1336265|,,,,1.0
Q13404081|,,,1.0,
Q13418253|Q2516866|,,,,1.0
Q134194|,,,,1.0
Q134307|,,,1.0,12.0
Q134307|Q170571|,,,1.0,
Q134307|Q170571|Q191163|,,,1.0,
Q134435|Q816425|,,,,1.0
Q1344|,,,1.0,2.0
Q1344|Q279272|,,,,1.0
Q134783|Q1142548|,,,,1.0
Q1349760|,,,,1.0
Q134995|,,,,1.0
Q1353213|,,,,1.0
Q135637|,,,1.0,
Q1362208|,,,,1.0
Q13636890|,,,,1.0
Q13644106|,,,,1.0
Q13644106|Q10968653|,,,,1.0
Q1365243|,,,1.0,
Q1367522|,,,,2.0
Q1368144|,,,,7.0
Q1368144|Q143|,,,,1.0
Q1368144|Q1790577|,,,,1.0
Q1368144|Q2272912|,,,,1.0
Q1368144|Q520855|Q856574|,,,1.0,
Q1368144|Q856574|,,,,1.0
Q1371704|Q460162|,,,,1.0
Q1379246|,,,,1.0
Q1381511|,,,,1.0
Q13883136|,,,,1.0
Q139106|,,,,6.0
Q1392782|,,,,1.0
Q1395219|,,,,1.0
Q13955|,,,,2.0
Q13955|Q1817983|,,,,1.0
Q1400853|,,,,1.0
Q1400853|Q191163|,,,1.0,
Q1400853|Q1935974|Q170571|,,,,1.0
Q1401304|,,,,1.0
Q1401416|,,,,1.0
Q1409472|Q738011|,,,,1.0
Q1412709|,,,1.0,
Q1418771|Q4430314|Q1570681|,,,1.0,
Q1420050|,,,,1.0
Q1420|,,,,1.0
Q1423891|,,,,1.0
Q142714|,,,,1.0
Q1430622|,,,1.0,
Q1436734|,,,,1.0
Q143|,,,11.0,31.0
Q143|Q1368144|,,,,1.0
Q143|Q9418|,,,,1.0
Q14467526|Q856574|,,,,1.0
Q1455|,,,,1.0
Q1456948|Q187097|,,,,1.0
Q1458465|,,,,1.0
Q145903|,,,,1.0
Q14620|,,,,1.0
Q14633884|,,,1.0,
Q146491|,,,,1.0
Q146893|Q175156|,,,1.0,
Q147638|,,,,2.0
Q1483473|,,,,1.0
Q14915627|,,,,1.0
Q149537|Q49084|,,,1.0,
Q1497658|,,,1.0,
Q1503585|,,,,1.0
Q1505660|,,,,1.0
Q150971|,,,,1.0
Q15117302|,,,1.0,
Q1515099|,,,1.0,1.0
