bls_occupation,wd_occupation,bls_total,bls_p_women
Aircraft pilots and flight engineers,"astronaut, aviator, navigator",129000,4.1
Announcers,,50000,23.6
"Architects, except naval",,195000,23.5
Bakers,,199000,53.9
Barbers,,109000,21.9
Bartenders,"bartender, sommelier,  oenologist",412000,59.9
Bill and account collectors,treasurer,206000,69.1
Biological scientists,"agronomist, horticulturist, forester, ecologist",101000,50.1
Bus drivers,,558000,45.5
"Butchers and other meat, poultry, and fish processing workers",,311000,23
Carpenters,,1223000,1.6
Cashiers,,3275000,71.8
Chefs and head cooks,,403000,21.5
Chemists and materials scientists,"chemist, metallurgist",105000,44.2
Chief executives,"president and chief executive officer, hotel manager, manager, manager (professional wrestling), businessperson, talent manager, business manager",1513000,27.4
Childcare workers,,1314000,94.1
Chiropractors,,58000,22.3
"Claims adjusters, appraisers, examiners, and investigators",,323000,63.4
Clergy,"Rosh yeshiva, religious servant, saint, clergy, muhaddith, pasha, qadi, hermit",408000,20.5
Clinical laboratory technologists and technicians,"nutritionist, food chemist,",319000,72.8
Computer programmers,"hacker, computer scientist",480000,22.5
Construction and building inspectors,,118000,7.8
Construction laborers,construction worker,1387000,2.9
Cooks,"cook, baker, beekeeper,  brewer, butcher, fisherman, hunter, pastry chef",1970000,37.7
Counselors,,661000,69.3
Couriers and messengers,,213000,15.5
Crane and tower operators,,62000,4
Crossing guards,,61000,55.3
Customer service representatives,,1956000,67.8
Dental hygienists,,163000,99.3
Dentists,,167000,24.2
Designers,"urban planner, game designer ",756000,55.3
Detectives and criminal investigators,detective,160000,24.8
Dishwashers,,271000,18.7
Drafters,,149000,16.6
Driver/sales workers and truck drivers,"co-driver, driver, salesperson",3201000,5.4
Editors,,159000,50.7
Electricians,"technics, electrician",692000,1.8
Elementary and middle school teachers,schoolmaster,2838000,81.4
Emergency medical technicians and paramedics,,172000,31.2
"Engineers, all other","business engineering, engineer",359000,13.2
Financial analysts,financial analyst,89000,36.8
Firefighters,firefighter,295000,3.4
Flight attendants,flight attendant,88000,77.6
Fundraisers,lobbyist,86000,75.3
Grounds maintenance workers,,1298000,5.1
"Hairdressers, hairstylists, and cosmetologists","hairdresser, salon-holder, make-up artist, wardrobe stylist, perfumer",785000,92.8
Insurance sales agents,,540000,44.1
Janitors and building cleaners,,2205000,29.7
Lawyers,"jurist, legislator",1061000,31.1
Librarians,"
librarian, law librarian, bibliophile",181000,86.8
Logisticians,"mathematician, philosopher, physicist, naturalist, academic",94000,36.8
Machinists,"locksmith, Tool and die maker, , machinist",397000,3.8
Maids and housekeeping cleaners,"domestic worker, housewife",1457000,88.1
Massage therapists,,158000,81.5
Nurse practitioners,,103000,86.1
"Opticians, dispensing",,54000,59.6
"Painters, construction and maintenance",,485000,5.5
Paralegals and legal assistants,,418000,85.9
Parking lot attendants,,81000,11.6
Personal financial advisors,accountant,378000,31.2
Pest control workers,,73000,4.7
Pharmacists,,286000,53.7
Photographers,"film crew member, film maker",178000,52.2
Physical therapists,,211000,70.7
Physicians and surgeons,health care provider,911000,34.3
builder,,534000,1.3
Police and sheriff’s patrol officers,"executioner, park ranger, law enforcement officer, torturer",657000,12.6
Postal service mail carriers,,318000,37.7
Private detectives and investigators,,103000,44
