,nan,transgender female,intersex,fa'afafine,transgender male,female animal,male animal,woman,genderqueer,female,male,kathoey
Q334,2.0,,,,,,,,,23.0,78.0,
Q33491,,,,,,,,,,,2.0,
Q335088,,,,,,,,,,,1.0,
Q33788,,,,,,,,,,,1.0,
Q33946,2.0,,,,,,,,,83.0,517.0,
Q34,3.0,,,,1.0,,,,,6554.0,7662.0,
Q340,,,,,,,,,,1.0,,
Q34020,,,,,,,,,,,7.0,
Q3403551,,,,,,,,,,,1.0,
Q34266,194.0,,,,,,,,,845.0,8260.0,
Q3456410,,,,,,,,,,,1.0,
Q3462133,,,,,,,,,,,1.0,
Q347,,,,,,,,,,45.0,284.0,
Q348670,,,,,,,,,,,1.0,
Q348785,,,,,,,,,,,1.0,
Q3496079,,,,,,,,,,,1.0,
Q35,2.0,1.0,,,,,,,,790.0,3532.0,
Q35323,,,,,,,,,,,53.0,
Q35355,,,,,,,,,,,1.0,
Q354100,,,,,,,,,,,1.0,
Q36,27.0,1.0,,,,,,,,4391.0,20975.0,
Q36392,,,,,,,,,,,1.0,
Q36704,1.0,,,,,,,,,54.0,584.0,
Q36747,,,,,,,,,,,1.0,
Q368628,,,,,,,,,,,1.0,
Q37,1.0,,,,,,,,,174.0,812.0,
Q37024,,,,,,,,,,1.0,44.0,
Q370736,,,,,,,,,,,1.0,
Q3708826,,,,,,,,,,,1.0,
Q3734,1.0,,,,,,,,,,,
Q3769,,,,,,,,,,,1.0,
Q38,28.0,1.0,1.0,,,,,,,9047.0,69106.0,
Q38060,,,,,,,,,,,39.0,
Q382553,,,,,,,,,,,1.0,
Q38872,2.0,,,,,,,,,5.0,107.0,
Q389688,,,,,,,,,,,1.0,
Q39,6.0,,,,,,,,,2580.0,15988.0,
Q39193,,,,,,,,,,,6.0,
Q395903,,,,,,,,,,,1.0,
Q39702,,,,,,,,,,,3.0,
Q398,1.0,,,,,,,,,15.0,32.0,
Q398720,,,,,,,,,,,2.0,
Q399,5.0,,,,,,,,,124.0,1498.0,
Q3995,,,,,,,,,,,1.0,
Q40,1.0,,,,,,,,,4268.0,22044.0,
Q403,6.0,,,,,,,,,292.0,1572.0,
Q4040,,,,,,,,,,,1.0,
Q4055129,,,,,,,,,,,2.0,
Q4064166,,,,,,,,,,,1.0,
Q408,7.0,3.0,3.0,,,,,,1.0,3243.0,7375.0,
Q41,216.0,1.0,,,,,,,,815.0,5842.0,
Q41137,,,,,,,,,,,4.0,
Q41304,,,,,,,,,,2.0,71.0,
Q414,22.0,1.0,,,,,,,,2195.0,13493.0,
Q41470,,,,,,,,,,,1.0,
Q4147589,,,,,,,,,,,2.0,
Q4147592,,,,,,,,,,,1.0,
Q41642,,,,,,,,,,,1.0,
Q419,1.0,,,,,,,,,40.0,370.0,
Q42000,,,,,,,,,,,1.0,
Q420759,1.0,,,,,,,,,,,
Q42193,,,,,,,,,,6.0,14.0,
Q42211,,,,,,,,,,,3.0,
Q423,1.0,,,,,,,,,27.0,151.0,
Q424,,,,,,,,,,5.0,108.0,
Q425028,,,,,,,,,,,2.0,
Q42585,,,,,,,,,,,9.0,
Q426025,,,,,,,,,,,1.0,
Q42620,,,,,,,,,,,2.0,
Q42667,,,,,,,,,,,1.0,
Q42834,,,,,,,,,,,1.0,
Q428400,,,,,,,,,,,1.0,
Q42884,,,,,,,,,,1.0,3.0,
Q43,238.0,1.0,,,,,,,,721.0,4596.0,
Q43287,,,,,,,,,,1.0,102.0,
Q439327,,,,,,,,,,2.0,,
Q4400406,,,,,,,,,,1.0,,
Q4437641,,,,,,,,,,,2.0,
Q4470623,1.0,,,,,,,,,1.0,4.0,
Q44806,1.0,,,,,,,,,,8.0,
Q45,34.0,,,,,,,,,1087.0,7124.0,
Q45315,,,,,,,,,,,9.0,
Q45646,,,,,,,,,,,14.0,
Q457167,,,,,,,,,,,2.0,
Q458,,,,,,,,,,1.0,,
Q4628,,,,,,,,,,1.0,34.0,
Q467864,,,,,,,,,,,1.0,
Q469950,,,,,,,,,,,1.0,
Q4742863,,,,,,,,,,,1.0,
Q47690,,,,,,,,,,,1.0,
Q482942,,,,,,,,,,,2.0,
Q483505,,,,,,,,,,,2.0,
Q484195,,,,,,,,,,,1.0,
Q484578,1.0,,,,,,,,,1.0,1.0,
Q487829,,,,,,,,,,,1.0,
Q4882572,,,,,,,,,,,1.0,
Q491106,,,,,,,,,,,1.0,
Q4938064,,,,,,,,,,,1.0,
Q4948,,,,,,,,,,26.0,138.0,
Q49542,2.0,,,,,,,,,,3.0,
Q49644,,,,,,,,,,,1.0,
Q49683,1.0,,,,,,,,,4.0,21.0,
Q49697,,,,,,,,,,,1.0,
Q5,,,,,,,,,,1.0,,
Q510662,,,,,,,,,,,1.0,
Q517333,,,,,,,,,,,1.0,
Q518101,,,,,,,,,,,2.0,
Q528042,,,,,,,,,,,2.0,
Q529605,,,,,,,,,,,1.0,
Q530670,,,,,,,,,,,1.0,
Q55,799.0,1.0,1.0,,,,,,,3779.0,20721.0,
Q55304,,,,,,,,,,,1.0,
Q556263,,,,,,,,,,,2.0,
Q56421,,,,,,,,,,,1.0,
Q5690,,,,,,,1.0,,,,2.0,
Q5705,,,,,,,,,,1.0,4.0,
Q5720,,,,,,,,,,,1.0,
Q574,,,,,,,,,,2.0,45.0,
Q577055,,,,,,,,,,,3.0,
Q577668,,,,,,,,,,,1.0,
Q58,,,,,,,,,,,1.0,
Q58202,,,,,,,,,,,1.0,
Q58296,,,,,,,,,,,1.0,
Q5832,,,,,,,,,,,28.0,
Q58326,,,,,,,,,,,1.0,
Q600018,,,,,,,,,,1.0,,
Q600093,,,,,,,,,,,1.0,
Q61292,,,,,,,,,,,1.0,
Q618399,,,,,,,,,,,1.0,
Q622783,,,,,,,,,,,1.0,
Q6250,,,,,,,,,,1.0,1.0,
Q62589,,,,,,,,,,,1.0,
Q62633,,,,,,,,,,1.0,13.0,
Q62651,,,,,,,,,,,1.0,
Q630276,,,,,,,,,,,1.0,
Q6343,,,,,,,,,,,1.0,
Q641,,,,,,,,,,1.0,,
Q644636,,,,,,,,,,,2.0,
Q645400,,,,,,,,,,1.0,,
Q648515,,,,,,,,,,,1.0,
Q649202,,,,,,,,,,,1.0,
Q6500954,,,,,,,,,,,1.0,
Q652,,,,,,,,,,,4.0,
Q656,,,,,,,,,,1.0,1.0,
Q656954,,,,,,,,,,,1.0,
Q657,2.0,,,,,,,,,4.0,95.0,
Q6581072,,,,,,,,,,2.0,,
Q6581097,,,,,,,,,,,1.0,
Q6581823,,,,,,,,,,,5.0,
Q6602,,,,,,,,,,,1.0,
Q664,22.0,,,,,,,,,2036.0,7472.0,
Q668,243.0,3.0,,,,,,,,3470.0,14957.0,
Q672,,,,,,,,,,1.0,17.0,
Q678,,,,,,,,,,2.0,76.0,
Q683,,,,,,,,,,2.0,52.0,
Q684030,,,,,,,,,,,9.0,
Q684886,,,,,,,,,,,1.0,
Q685,,,,,,,,,,1.0,29.0,
Q686,,,,,,,,,,1.0,29.0,
Q686481,,,,,,,,,,,1.0,
Q691,,,,,,,,,,1.0,28.0,
Q69323,,,,,,,,,,,1.0,
Q693551,,,,,,,,,,1.0,,
Q693669,,,,,,,,,,,6.0,
Q695,,,,,,,,,,,21.0,
Q696241,,,,,,,,,,1.0,8.0,
Q697,,,,,,,,,,7.0,27.0,
Q700283,,,,,,,,,,,1.0,
Q702,,,,,,,,,,,7.0,
Q704288,,,,,,,,,,,2.0,
Q704300,,,,,,,,,,,1.0,
Q706018,,,,,,,,,,,34.0,
Q709,,,,,,,,,,,9.0,
Q70972,,,,,,,,,,2.0,3.0,
Q710,,,,,,,,,,1.0,5.0,
Q71084,,,,,,,,,,,2.0,
Q711,,,,,,,,,,14.0,201.0,
Q712,,,,,,,,,,5.0,106.0,
Q713750,,,,,,,,,,8.0,32.0,
Q717,,,,,,,,,,183.0,646.0,
Q71747,,,,,,,,,,,1.0,
Q7183,,,,,,,,,,,1.0,
Q72,,,,,,,,,,,1.0,
Q7209,,,,,,,,,,,1.0,
Q721728,,,,,,,,,,,2.0,
Q730,,,,,,,,,,12.0,94.0,
Q7318,,,,,,,,,,2.0,86.0,
Q733,1.0,,,,,,,,,84.0,1369.0,
Q734,,,,,,,,,,6.0,37.0,
Q7352,,,,,,,,,,,1.0,
Q736,,,,,,,,,,51.0,374.0,
Q7382038,,,,,,,,,,,1.0,
Q739,1.0,,,,,,,,,134.0,820.0,
Q7405,,,,,,,,,,,2.0,
Q7411,,,,,,,,,,,4.0,
Q742083,,,,,,,,,,,1.0,
Q742582,,,,,,,,,,,1.0,
Q7462,,,,,,,,,,,3.0,
Q746558,,,,,,,,,,,3.0,
Q750,,,,,,,,,,16.0,364.0,
Q754,,,,,,,,,,25.0,168.0,
Q757,,,,,,,,,,1.0,18.0,
Q75903,,,,,,,,,,,2.0,
Q760,,,,,,,,,,20.0,86.0,
Q763,,,,,,,,,,1.0,19.0,
Q766,,,,,,,,,,192.0,601.0,
Q769,,,,,,,,,,1.0,27.0,
Q77,,,,,,,,,,79.0,1864.0,
Q7737,,,,,,,,,,,5.0,
Q774,,,,,,,,,,23.0,202.0,
Q776,,,,,,,,,,,2.0,
Q778,,,,,,,,,,19.0,62.0,
Q779011,,,,,,,,,,,1.0,
Q781,,,,,,,,,,7.0,21.0,
Q783,,,,,,,,,,9.0,212.0,
Q783432,,,,,,,,,,,1.0,
Q784,,,,,,,,,,4.0,29.0,
Q786,,,,,,,,,,70.0,267.0,
Q79,10.0,,,,,,,,,222.0,1353.0,
Q790,268.0,,,,,,,,,28.0,627.0,
Q792,,,,,,,,,,14.0,164.0,
Q794,1337.0,,,,,,,,,334.0,2919.0,
Q796,16.0,,,,,,,,,38.0,502.0,
Q796583,,,,,,,,,,1.0,,
Q797907,,,,,,,,,,,1.0,
Q79797,,,,,,,,,,,1.0,
Q800,1.0,,,,,,,,,62.0,637.0,
Q80040,,,,,,,,,,,1.0,
Q801,4.0,,,,1.0,,,,,343.0,1651.0,
Q804,,,,,,,,,,4.0,108.0,
Q805,,,,,,,,,,2.0,35.0,
Q80702,,,,,,,,,,,1.0,
Q810,,,,,,,,,,23.0,143.0,
Q811,,,,,,,,,,16.0,119.0,
Q813,4.0,,,,,,,,,19.0,120.0,
Q814959,,,,,,,,,,2.0,,
Q815731,,,,,,,,,,,1.0,
Q816709,,,,,,,,,,,1.0,
Q817,1.0,,,,,,,,,1.0,88.0,
Q81720,,,,,,,,,,,3.0,
Q819,,,,,,,,,,3.0,102.0,
Q81931,,,,,,,,,,,3.0,
Q82112,,,,,,,,,,,1.0,
Q822,1.0,,,,,,,,,51.0,331.0,
Q826,,,,,,,,,,1.0,11.0,
Q83286,,,,,,,,,,11.0,42.0,
