,nan,transgender female,intersex,fa'afafine,transgender male,female animal,male animal,woman,genderqueer,female,male,kathoey
fawiki,5248.0,30.0,,,1.0,,1.0,,1.0,12785.0,48912.0,1.0
fawikinews,,,,,,,,,,,2.0,
fawikiquote,3.0,,,,,,,,,43.0,438.0,
fawikisource,,,,,,,,,,,13.0,
ffwiki,,,,,,,,,,,12.0,
fiu_vrowiki,6.0,,,,,,,,,15.0,229.0,
fiwiki,5677.0,10.0,1.0,,2.0,,,,,17836.0,88161.0,1.0
fiwikinews,,,,,,,,,,,1.0,
fiwikiquote,2.0,,,,,,,,,54.0,497.0,
fiwikisource,2.0,,,,,,,,,21.0,214.0,
fjwiki,,,,,,,,,,2.0,15.0,
fowiki,31.0,1.0,,,1.0,,,,,405.0,1067.0,
frpwiki,1.0,,,,,,,,,29.0,139.0,
frrwiki,,,,,,,,,,10.0,78.0,
frwiki,1227.0,32.0,3.0,,4.0,2.0,2.0,,3.0,62281.0,346984.0,
frwikinews,,,,,,,,,,6.0,34.0,
frwikiquote,1.0,,,,,,,,,173.0,1683.0,
frwikisource,21.0,,,,,,,,,391.0,5279.0,
furwiki,,,,,,,,,,18.0,220.0,
fywiki,260.0,,1.0,,,,,,,1150.0,4194.0,
gagwiki,2.0,,,,,,,,,7.0,35.0,
ganwiki,78.0,3.0,,,,,,,,49.0,345.0,
gawiki,6.0,,,,,,,,,628.0,4556.0,
gdwiki,3.0,,,,,,,,,137.0,1325.0,
glkwiki,11.0,,,,,,,,,5.0,47.0,
glwiki,157.0,4.0,,,,,,,,2690.0,17196.0,
glwikiquote,1.0,,,,,,,,,15.0,244.0,
glwikisource,,,,,,,,,,2.0,47.0,
gnwiki,,,,,,,,,,44.0,201.0,
gotwiki,,,,,,,,,,14.0,134.0,
guwiki,8.0,,,,,,,,,116.0,600.0,
guwikiquote,,,,,,,,,,,2.0,
guwikisource,,,,,,,,,,2.0,32.0,
gvwiki,1.0,,,,,,,,,120.0,374.0,
hakwiki,1.0,,,,,,,,,19.0,189.0,
hawiki,1.0,,,,,,,,,7.0,132.0,
hawwiki,,,,,,,,,,29.0,84.0,
hewiki,380.0,9.0,,,,,5.0,,1.0,6075.0,32941.0,
hewikinews,,,,,,,,,,,1.0,
hewikiquote,,,,,,,,,,113.0,900.0,
hewikisource,,,,,,,,,,1.0,186.0,
hifwiki,4.0,,,,,,,,,39.0,397.0,
hiwiki,74.0,,,,,,,,,1224.0,5438.0,
hiwikiquote,,,,,,,,,,1.0,12.0,
hrwiki,1350.0,1.0,,,,,,,,3208.0,18123.0,
hrwikiquote,12.0,,,,,,,,,32.0,421.0,
hrwikisource,9.0,,,,,,,,,4.0,141.0,
hsbwiki,60.0,,,,,,,,,167.0,557.0,
htwiki,1534.0,,,,,,,,,349.0,4302.0,
huwiki,10076.0,8.0,,,1.0,,,,,7161.0,40598.0,
huwikinews,,,,,,,,,,,2.0,
huwikiquote,2.0,,,,,,,,,29.0,530.0,
huwikisource,1.0,,,,,,,,,3.0,110.0,
hywiki,136.0,,,,,,,,,1088.0,7466.0,
hywikiquote,,,,,,,,,,26.0,375.0,
hywikisource,,,,,,,,,,2.0,58.0,
iawiki,9.0,,,,,,,,,128.0,598.0,
idwiki,4201.0,4.0,,,1.0,,,,,5455.0,28767.0,
idwikiquote,,,,,,,,,,10.0,124.0,
idwikisource,,,,,,,,,,1.0,8.0,
iewiki,2.0,,,,,,,,,89.0,227.0,
igwiki,,,,,,,,,,36.0,119.0,
ikwiki,,,,,,,,,,6.0,4.0,
ilowiki,1.0,,,,,,,,,123.0,846.0,
iowiki,3.0,,,,,,,,,622.0,4454.0,
iswiki,778.0,,,,,,,,,1098.0,4748.0,
iswikiquote,,,,,,,,,,1.0,77.0,
iswikisource,3.0,,,,,,,,,2.0,32.0,
itwiki,206.0,22.0,2.0,1.0,3.0,,1.0,,,38505.0,229260.0,
itwikinews,,,,,,,,,,1.0,21.0,
itwikiquote,12.0,,,1.0,,,1.0,,,1632.0,9827.0,
itwikisource,,,,,,,,,,96.0,3146.0,
iuwiki,,,,,,,,,,10.0,14.0,
jawiki,111141.0,17.0,1.0,1.0,,,,,1.0,30164.0,97979.0,1.0
jawikiquote,21.0,,,,,,,,,59.0,408.0,
jawikisource,1.0,,,,,,,,,6.0,37.0,
jbowiki,,,,,,,,,,9.0,99.0,
jvwiki,329.0,1.0,,,,,,,,863.0,3350.0,
kaawiki,,,,,,,,,,16.0,136.0,
kabwiki,1.0,,,,,,,,,38.0,194.0,
kawiki,112.0,1.0,,,1.0,,,,,1385.0,9492.0,
kawikiquote,,,,,,,,,,18.0,278.0,
kbdwiki,,,,,,,,,,11.0,82.0,
kgwiki,,,,,,,,,,3.0,23.0,
kiwiki,,,,,,,,,,1.0,21.0,
kkwiki,290.0,1.0,,,,,,,,523.0,4157.0,
klwiki,,,,,,,,,,21.0,72.0,
kmwiki,2.0,,,,,,,,,30.0,192.0,
knwiki,8.0,,,,,,,,,290.0,1311.0,
koiwiki,4.0,,,,,,,,,9.0,34.0,
kowiki,13232.0,19.0,1.0,,2.0,,,,2.0,9040.0,33840.0,1.0
kowikinews,1.0,,,,,,,,,,,
kowikiquote,,,,,,,,,,15.0,217.0,
kowikisource,15.0,,,,,,,,,33.0,247.0,
krcwiki,,,,,,,,,,9.0,34.0,
kshwiki,3.0,,,,,,,,,175.0,291.0,
kswiki,,,,,,,,,,1.0,5.0,
kuwiki,66.0,1.0,,,,,,,,252.0,1620.0,
kuwikiquote,,,,,,,,,,8.0,138.0,
kvwiki,3.0,,,,,,,,,15.0,73.0,
kwwiki,,,,,,,,,,36.0,195.0,
kywiki,15.0,,,,,,,,,80.0,725.0,
kywikiquote,,,,,,,,,,,8.0,
ladwiki,3.0,,,,,,,,,67.0,245.0,
lawiki,101.0,4.0,,,,,,,,2402.0,20354.0,
lawikiquote,,,,,,,,,,,55.0,
lawikisource,6.0,,,,,,,,,8.0,294.0,
lbewiki,1.0,,,,,,,,,,56.0,
lbwiki,327.0,,,,,,,,,1302.0,7178.0,
lbwikiquote,,,,,,,,,,,1.0,
lezwiki,,,,,,,,,,11.0,109.0,
lgwiki,,,,,,,,,,2.0,5.0,
lijwiki,,,,,,,,,,29.0,226.0,
liwiki,4.0,,,,,,,,,126.0,583.0,
liwikiquote,1.0,1.0,,,,,,,,65.0,435.0,
liwikisource,,,,,,,,,,,3.0,
lmowiki,6.0,1.0,,,,,,,,161.0,991.0,
lnwiki,1.0,,,,,,,,,27.0,164.0,
lowiki,,,,,,,,,,12.0,48.0,
ltgwiki,4.0,,,,,,,,,4.0,31.0,
ltwiki,1895.0,,,,,,,,,2260.0,14481.0,
ltwikiquote,,,,,,,,,,61.0,753.0,
ltwikisource,,,,,,,,,,1.0,6.0,
lvwiki,934.0,1.0,,,,,,,,1673.0,9398.0,
map_bmswiki,6.0,,,,,,,,,15.0,88.0,
mdfwiki,,,,,,,,,,7.0,60.0,
mgwiki,1.0,,,,,,,,,185.0,1179.0,
mhrwiki,3.0,,,,,,,,,16.0,146.0,
mhwiki,,,,,,,,,,2.0,,
minwiki,92.0,,,,,,,,,35.0,231.0,
miwiki,,,,,,,,,,25.0,115.0,
mkwiki,796.0,,,,,,,,,807.0,6586.0,
mkwikisource,,,,,,,,,,1.0,6.0,
mlwiki,31.0,1.0,,,1.0,,,,,1231.0,5301.0,
mlwikiquote,,,,,,,,,,3.0,36.0,
mlwikisource,,,,,,,,,,,47.0,
mnwiki,16.0,,,,,,,,,626.0,3427.0,
mowiki,,,,,,,,,,,8.0,
mrjwiki,2.0,,,,,,,,,35.0,192.0,
mrwiki,24.0,,,,,,,,,1292.0,7664.0,
mrwikiquote,,,,,,,,,,,16.0,
mrwikisource,,,,,,,,,,,1.0,
mswiki,230.0,1.0,,,1.0,,,,,1525.0,5996.0,
mtwiki,,,,,,,,,,113.0,665.0,
mwlwiki,1.0,,,,,,,,,69.0,364.0,
myvwiki,,,,,,,,,,10.0,25.0,
mywiki,,,,,,,,,,127.0,962.0,
mznwiki,14.0,,,,,,,,,206.0,1565.0,
nahwiki,,,,,,,,,,148.0,747.0,
napwiki,9.0,,,,,,,,,68.0,451.0,
nawiki,,,,,,,,,,38.0,74.0,
nds_nlwiki,8.0,,,,,,,,,64.0,262.0,
ndswiki,17.0,,,,,,,,,658.0,3608.0,
newiki,9.0,,,,,,,,,673.0,863.0,
newwiki,1.0,,,,,,,,,42.0,262.0,
nlwiki,3150.0,10.0,1.0,,1.0,,,,2.0,25541.0,135581.0,
nlwikiquote,6.0,1.0,,,,,,,,70.0,585.0,
nlwikisource,,,,,,,,,,3.0,113.0,
nnwiki,136.0,,,,,,,,,2270.0,13198.0,
nnwikiquote,,,,,,,,,,15.0,101.0,
novwiki,,,,,,,,,,49.0,96.0,
nowiki,884.0,4.0,,,,,,,,23110.0,91773.0,
nowikinews,,,,,,,,,,1.0,,
nowikiquote,,,,,,,,,,44.0,317.0,
nowikisource,,,,,,,,,,3.0,128.0,
nrmwiki,,,,,,,,,,17.0,123.0,
nsowiki,,,,,,,,,,1.0,13.0,
nvwiki,,,,,,,,,,2.0,32.0,
nywiki,,,,,,,,,,3.0,15.0,
ocwiki,25.0,1.0,,,,,,,,1608.0,7900.0,
omwiki,,,,,,,,,,7.0,27.0,
orwiki,4.0,,,,,,,,,86.0,394.0,
oswiki,2.0,,,,,,,,,48.0,482.0,
pagwiki,4.0,,,,,,,,,18.0,89.0,
pamwiki,4.0,,,,,,,,,109.0,684.0,
papwiki,,,,,,,,,,34.0,80.0,
pawiki,8.0,,,,,,,,,371.0,1989.0,
pcdwiki,13.0,,,,,,,,,34.0,246.0,
pdcwiki,4.0,,,,,,,,,45.0,150.0,
pflwiki,,,,,,,,,,8.0,48.0,
pihwiki,,,,,,,,,,14.0,32.0,
piwiki,,,,,,,,,,,8.0,
plwiki,1304.0,14.0,,,2.0,,,,,39348.0,212552.0,
plwikinews,,,,,,,,,,,1.0,
plwikiquote,5.0,1.0,,,,,,,,800.0,4618.0,
plwikisource,23.0,,,,,,,,,42.0,624.0,
pmswiki,23.0,,,,,,,,,215.0,2711.0,
pnbwiki,7.0,,,,,,,,,280.0,2357.0,
pntwiki,,,,,,,,,,4.0,27.0,
pswiki,4.0,,,,,,,,,108.0,686.0,
ptwiki,589.0,23.0,1.0,1.0,2.0,,,,2.0,24198.0,126419.0,
ptwikinews,,,,,,,,,,1.0,5.0,
ptwikiquote,1.0,,,,,,,,,332.0,1832.0,
ptwikisource,,,,,,,,,,28.0,508.0,
quwiki,3.0,,,,,,,,,247.0,2154.0,
rmwiki,1.0,,,,,,,,,109.0,311.0,
rmywiki,1.0,,,,,,,,,15.0,30.0,
rnwiki,,,,,,,,,,1.0,3.0,
roa_rupwiki,2.0,,,,,,,,,14.0,106.0,
roa_tarawiki,,,,,,,,,,16.0,80.0,
rowiki,2011.0,1.0,,,,,,,,5974.0,28703.0,
rowikinews,,,,,,,,,,1.0,1.0,
rowikiquote,,,,,,,,,,6.0,161.0,
rowikisource,1.0,,,,,,,,,4.0,73.0,
ruewiki,1.0,,,,,,,,,20.0,291.0,
ruwiki,2174.0,18.0,1.0,,3.0,,,,,35924.0,226761.0,1.0
ruwikinews,,,,,,,,,,148.0,496.0,
ruwikiquote,3.0,1.0,,,,,,,,274.0,2643.0,
ruwikisource,40.0,,,,,,,,,160.0,2136.0,
rwwiki,,,,,,,,,,18.0,154.0,
sahwiki,1.0,,,,,,,,,74.0,506.0,
sawiki,4.0,,,,,,,,,113.0,778.0,
scnwiki,27.0,,,,,,,,,259.0,1994.0,
scowiki,5.0,,,,,,,,,894.0,2483.0,
scwiki,1.0,,,,,,,,,161.0,906.0,
sdwiki,,,,,,,,,,5.0,50.0,
