,nan,transgender female,intersex,fa'afafine,transgender male,female animal,male animal,woman,genderqueer,female,male,kathoey
Q159,,,,,,,,,,,1.0,
Q15980602,,,,,,,,,,,1.0,
Q1604701,,,,,,,,,,,1.0,
Q160894,,,,,,,,,,9.0,12.0,
Q161652,,1.0,,,,,,,,150.0,20.0,
Q1645980,,,,,,,,,,1.0,,
Q164714,,,,,,,,,,4.0,3.0,
Q165192,,,,,,,,,,4.0,4.0,
Q165235,,,,,,,,,,,6.0,
Q1672477,,,,,,,,,,1.0,6.0,
Q167420,,,,,,,,,,,13.0,
Q17,,,,,,,,,,3.0,1.0,
Q170088,,,,,,,,,,,1.0,
Q170217,1.0,,,,,,,,,13.0,7.0,
Q170284,,,,,,,,,,1.0,1.0,
Q170355,,,,,,,,,,3.0,6.0,
Q17061936,,,,,,,,,,1.0,,
Q170826,,,,,,,,,,11.0,12.0,
Q171336,,,,,,,,,,3.0,7.0,
Q172717,,,,,,,,,,,2.0,
Q173292,,,,,,,,,,,1.0,
Q173302,,,,,,,,,,1.0,1.0,
Q173371,,,,,,,,,,,1.0,
Q173491,,,,,,,,,,1.0,3.0,
Q174306,,,,,,,,,,1.0,,
Q1752440,,,,,,,,,,3.0,2.0,
Q1760759,,,,,,,,,,,1.0,
Q178630,,,,,,,,,,2.0,2.0,
Q1790886,,,,,,,,,,3.0,2.0,
Q179248,,,,,,,,,,4.0,22.0,
Q180688,,,,,,,,,,1.0,,
Q1815623,,,,,,,,,,,36.0,
Q181634,,,,,,,,,,3.0,15.0,
Q1820260,,,,,,,,,,1.0,1.0,
Q183,,,,,,,,,,,4.0,
Q183573,,,,,,,,,,1.0,2.0,
Q1849258,,,,,,,,,,1.0,,
Q185461,,,,,,,,,,,1.0,
Q186192,,,,,,,,,,,2.0,
Q187985,,,,,,,,,,9.0,88.0,
Q188353,,,,,,,,,,2.0,5.0,
Q1886046,,,,,,,,,,1.0,,
Q188779,,,,,,,,,,2.0,2.0,
Q1891793,,,,,,,,,,1.0,,
Q18973,,,,,,,,,,2.0,1.0,
Q189975,,,,,,,,,,,1.0,
Q190168,,,,,,,,,,1.0,3.0,
Q190209,,,,,,,,,,,1.0,
Q1905026,,,,,,,,,,2.0,1.0,
Q191,,,,,,,,,,,1.0,
Q19109,,,,,,,,,,,1.0,
Q191356,,,,,,,,,,1.0,,
Q191923,,,,,,,,,,1.0,1.0,
Q193092,,,,,,,,,,,1.0,
Q1945786,,,,,,,,,,1.0,7.0,
Q1956640,,,,,,,,,,,1.0,
Q196194,,,,,,,,,,1.0,1.0,
Q1965974,,,,,,,,,,1.0,,
Q1974818,,,,,,,,,,1.0,,
Q1974839,,,,,,,,,,3.0,1.0,
Q1983621,,,,,,,,,,,2.0,
Q1983634,,,,,,,,,,,6.0,
Q19860,,,,,,,,,,,1.0,
Q1996554,,,,,,,,,,3.0,3.0,
Q1998273,,,,,,,,,,,1.0,
Q20,,,,,,,,,,2.0,,
Q200263,,,,,,,,,,,8.0,
Q200569,,,,,,,,,,9.0,2.0,
Q201111,,,,,,,,,,,1.0,
Q201190,,,,,,,,,,2.0,4.0,
Q2021092,,,,,,,,,,,1.0,
Q202353,,,,,,,,,,1.0,2.0,
Q202575,,,,,,,,,,,1.0,
Q2031644,,,,,,,,,,,2.0,
Q203178,,,,,,,,,,1.0,1.0,
Q2033181,,,,,,,,,,2.0,2.0,
Q204333,,,,,,,,,,,1.0,
Q2046097,,,,,,,,,,,1.0,
Q207050,,,,,,,,,,,2.0,
Q2075566,,,,,,,,,,,1.0,
Q209959,,,,,,,,,,1.0,1.0,
Q21,,,,,,,,,,2.0,7.0,
Q212,,,,,,,,,,,1.0,
Q212106,,,,,,,,,,,2.0,
Q213396,,,,,,,,,,,1.0,
Q214361,,,,,,,,,,,1.0,
Q216151,,,,,,,,,,,1.0,
Q218,,,,,,,,,,,1.0,
Q219,,,,,,,,,,,2.0,
Q219252,,,,,,,,,,1.0,,
Q219563,,,,,,,,,,,1.0,
