,nan,transgender female,intersex,fa'afafine,transgender male,female animal,male animal,woman,genderqueer,female,male,kathoey
Q854323,,,,,,,,,,5.0,22.0,
Q856676,,,,,,,,,,1.0,,
Q857026,,,,,,,,,,,1.0,
Q857880,,,,,,,,,,3.0,1.0,
Q862086,,,,,,,,,,9.0,7.0,
Q865,,,,,,,,,,1.0,,
Q8660,,,,,,,,,,1.0,,
Q869,,,,,,,,,,1.0,,
Q871904,,,,,,,,,,,1.0,
Q873625,,,,,,,,,,5.0,1.0,
Q875651,,,,,,,,,,1.0,1.0,
Q878607,,,,,,,,,,,2.0,
Q8798,,,,,,,,,,,1.0,
Q889,,,,,,,,,,1.0,,
Q889897,,,,,,,,,,1.0,1.0,
Q889912,,,,,,,,,,1.0,1.0,
Q891146,,,,,,,,,,,1.0,
Q893594,,,,,,,,,,5.0,3.0,
Q902,,,,,,,,,,,2.0,
Q902325,,,,,,,,,,,1.0,
Q906900,,,,,,,,,,1.0,,
Q909879,,,,,,,,,,,1.0,
Q9142,,,,,,,,,,1.0,,
Q918556,,,,,,,,,,1.0,,
Q920233,,,,,,,,,,,2.0,
Q925034,,,,,,,,,,,1.0,
Q9268,,,,,,,,,,,2.0,
Q928,,,,,,,,,,,1.0,
Q931963,,,,,,,,,,1.0,,
Q932244,,,,,,,,,,4.0,28.0,
Q935290,,,,,,,,,,,1.0,
Q940348,,,,,,,,,,,4.0,
Q943349,,,,,,,,,,,1.0,
Q948,,,,,,,,,,1.0,,
Q948126,,,,,,,,,,,1.0,
Q957298,,,,,,,,,,,1.0,
Q9610,,,,,,,,,,1.0,,
Q968200,,,,,,,,,,,1.0,
Q969667,,,,,,,,,,1.0,,
Q974,,,,,,,,,,,1.0,
Q974693,,,,,,,,,,12.0,9.0,
Q980,,,,,,,,,,,1.0,
Q983179,,,,,,,,,,2.0,1.0,
Q992401,,,,,,,,,,1.0,,
Q996189,,,,,,,,,,9.0,,
