,nan,transgender female,intersex,transgender male,female,male
-746.0,,,,,,1.0
-745.0,,,,,,3.0
-742.0,,,,,,1.0
-741.0,,,,,,1.0
-739.0,,,,,,1.0
-735.0,,,,,,1.0
-733.0,,,,,,1.0
-732.0,,,,,,2.0
-731.0,,,,,,2.0
-730.0,,,,,,1.0
-727.0,,,,,,2.0
-724.0,,,,,,1.0
-722.0,,,,,,1.0
-720.0,,,,,1.0,3.0
-718.0,,,,,,1.0
-716.0,,,,,,1.0
-714.0,,,,,1.0,1.0
-709.0,,,,,,1.0
-705.0,,,,,,1.0
-704.0,,,,,,1.0
-700.0,,,,,,1.0
-698.0,,,,,,2.0
-697.0,,,,,,2.0
-695.0,,,,,,1.0
-694.0,,,,,,2.0
-690.0,,,,,,2.0
-688.0,,,,,,1.0
-686.0,,,,,,1.0
-685.0,,,,,,2.0
-682.0,,,,,,1.0
-681.0,,,,,,2.0
-680.0,,,,,,1.0
-678.0,,,,,,2.0
-677.0,,,,,,3.0
-676.0,,,,,,2.0
-675.0,,,,,,1.0
-673.0,,,,,1.0,1.0
-672.0,,,,,,2.0
-669.0,,,,,,1.0
-668.0,,,,,1.0,
-665.0,,,,,,1.0
-664.0,,,,,,4.0
-660.0,,,,,,1.0
-657.0,,,,,,1.0
-655.0,,,,,,1.0
-653.0,,,,,,1.0
-652.0,,,,,,1.0
-651.0,,,,,,3.0
-650.0,,,,,1.0,
-647.0,,,,,,1.0
-645.0,,,,,,3.0
-644.0,,,,,,1.0
-642.0,,,,,,1.0
-641.0,,,,,,1.0
-640.0,,,,,1.0,1.0
-639.0,,,,,,2.0
-637.0,,,,,,3.0
-633.0,,,,,,2.0
-632.0,,,,,,1.0
-629.0,,,,,,1.0
-628.0,,,,,,1.0
-627.0,,,,,,4.0
-626.0,,,,,,1.0
-625.0,,,,,,1.0
-621.0,,,,,,2.0
-619.0,,,,,,1.0
-618.0,,,,,,1.0
-617.0,,,,,,1.0
-616.0,,,,,,1.0
-614.0,,,,,,1.0
-613.0,,,,,,3.0
-610.0,,,,,,1.0
-609.0,,,,,,3.0
-608.0,,,,,,1.0
-607.0,,,,,,2.0
-605.0,,,,,,2.0
-604.0,,,,,,3.0
-600.0,,,,,,2.0
-599.0,,,,,,1.0
-598.0,,,,,,1.0
-595.0,,,,,,1.0
-591.0,,,,,,1.0
-590.0,,,,,,1.0
-586.0,,,,,1.0,2.0
-585.0,,,,,,2.0
-584.0,,,,,,2.0
-583.0,,,,,,1.0
-582.0,,,,,,1.0
-581.0,,,,,,2.0
-579.0,,,,,,1.0
-577.0,,,,,,1.0
-573.0,,,,,,1.0
-572.0,,,,,,1.0
-567.0,,,,,,1.0
-564.0,,,,,,1.0
-562.0,,,,,,2.0
-560.0,,,,,,3.0
-559.0,,,,,,1.0
-558.0,,,,,,2.0
-555.0,,,,,,1.0
-554.0,,,,,,2.0
-551.0,,,,,,1.0
-550.0,,,,,,2.0
-548.0,,,,,,2.0
-546.0,,,,,,2.0
-545.0,,,,,,3.0
-541.0,,,,,,1.0
-539.0,,,,,,1.0
-537.0,,,,,1.0,2.0
-532.0,,,,,,1.0
-530.0,,,,,,2.0
-529.0,,,,,,3.0
-528.0,,,,,,1.0
-527.0,,,,,,2.0
-526.0,,,,,,2.0
-525.0,,,,,1.0,2.0
-524.0,,,,,,1.0
-523.0,,,,,1.0,
-522.0,,,,,,5.0
-521.0,,,,,,3.0
-520.0,,,,,,2.0
-516.0,,,,,,1.0
-515.0,,,,,,2.0
-514.0,,,,,,1.0
-512.0,,,,,,1.0
-510.0,,,,,,1.0
-509.0,,,,,1.0,2.0
-507.0,,,,,,1.0
-504.0,,,,,,1.0
-503.0,,,,,,1.0
-501.0,,,,,,2.0
-500.0,,,,,,1.0
-498.0,,,,,,1.0
-497.0,,,,,,1.0
-496.0,,,,,,1.0
-495.0,,,,,,3.0
-494.0,,,,,,1.0
-493.0,,,,,,3.0
-492.0,,,,,,2.0
-491.0,,,,,,3.0
-490.0,,,,,,5.0
-489.0,,,,,,4.0
-488.0,,,,,,1.0
-487.0,,,,,,2.0
-486.0,,,,,,1.0
-485.0,,,,,,3.0
-483.0,,,,,,2.0
-482.0,1.0,,,,,2.0
-481.0,,,,,,1.0
-480.0,,,,,,14.0
-479.0,,,,,,2.0
-478.0,,,,,,2.0
-477.0,,,,,,5.0
-476.0,,,,,,2.0
-475.0,,,,,1.0,3.0
-474.0,,,,,,1.0
-473.0,,,,,,2.0
-470.0,,,,,,1.0
-469.0,,,,,,2.0
-467.0,,,,,,3.0
-466.0,,,,,,1.0
-465.0,,,,,,4.0
-464.0,,,,,,1.0
-463.0,,,,,,3.0
-462.0,,,,,,1.0
-461.0,,,,,,1.0
-460.0,,,,,,1.0
-459.0,,,,,,1.0
-458.0,,,,,,2.0
-456.0,,,,,,2.0
-454.0,,,,,,2.0
-453.0,,,,,,1.0
-451.0,,,,,,1.0
-450.0,,,,,,2.0
-449.0,,,,,1.0,1.0
-448.0,,,,,,1.0
-447.0,,,,,,1.0
-445.0,,,,,,2.0
-441.0,,,,,,3.0
-440.0,,,,,,2.0
-439.0,,,,,,3.0
-438.0,,,,,,3.0
-437.0,,,,,,1.0
-434.0,,,,,,2.0
-433.0,,,,,,1.0
-432.0,,,,,,2.0
-431.0,,,,,,1.0
-430.0,,,,,,3.0
-429.0,,,,,,3.0
-428.0,,,,,,2.0
-426.0,,,,,,2.0
-425.0,,,,,,2.0
