qid,en_label,aggregate_group
http://wikidata.org/wiki/Q145,United Kingdom,
http://wikidata.org/wiki/Q1453289,Alakozai,
http://wikidata.org/wiki/Q145665,Manchu,
http://wikidata.org/wiki/Q1464982,Ethnic groups in Europe,
http://wikidata.org/wiki/Q146521,Sorbs,
http://wikidata.org/wiki/Q1467740,Ottoman Greeks,
http://wikidata.org/wiki/Q1473943,Shapsugs,
http://wikidata.org/wiki/Q147401,Zapotec peoples,
http://wikidata.org/wiki/Q1478209,Ogoni people,
http://wikidata.org/wiki/Q15026,chair,
http://wikidata.org/wiki/Q15093634,Georgians,
http://wikidata.org/wiki/Q15111547,Q15111547,
http://wikidata.org/wiki/Q1516823,History of the Jews in Poland,
http://wikidata.org/wiki/Q15215155,Nisei,
http://wikidata.org/wiki/Q1523166,Plains Apache,
http://wikidata.org/wiki/Q152965,Silesian German,
http://wikidata.org/wiki/Q153557,Kakwa people,
http://wikidata.org/wiki/Q1563530,Turkish,
http://wikidata.org/wiki/Q1567862,Iraqi people,
http://wikidata.org/wiki/Q157139,Baltic Germans,
http://wikidata.org/wiki/Q15763,Circassians,
http://wikidata.org/wiki/Q15863,Slovenes,
http://wikidata.org/wiki/Q159,Russia,
http://wikidata.org/wiki/Q15980602,Romani people in Bosnia and Herzegovina,
http://wikidata.org/wiki/Q1604701,Hema people,
http://wikidata.org/wiki/Q160894,Spanish people,
http://wikidata.org/wiki/Q161652,Japanese people,
http://wikidata.org/wiki/Q1645980,Jat people,
http://wikidata.org/wiki/Q164714,Danes,
http://wikidata.org/wiki/Q165192,Swedes,
http://wikidata.org/wiki/Q165235,Bosnians,
http://wikidata.org/wiki/Q1672477,Iranian peoples,
http://wikidata.org/wiki/Q167420,Croats,
http://wikidata.org/wiki/Q17,Japan,
http://wikidata.org/wiki/Q170088,Herero people,
http://wikidata.org/wiki/Q170217,Czechs,
http://wikidata.org/wiki/Q170284,Finns,
http://wikidata.org/wiki/Q170355,Indigenous Australians,
http://wikidata.org/wiki/Q17061936,Native American,
