qid,en_label,aggregate_group
http://wikidata.org/wiki/Q148540,Republic of Florence,
http://wikidata.org/wiki/Q150,French,
http://wikidata.org/wiki/Q150058,Travancore,
http://wikidata.org/wiki/Q1508143,Ukrainian State,
http://wikidata.org/wiki/Q150981,North German Confederation,
http://wikidata.org/wiki/Q151227,Pokanoket,
http://wikidata.org/wiki/Q151624,German Confederation,
http://wikidata.org/wiki/Q15180,Soviet Union,
http://wikidata.org/wiki/Q152115,Duchy of Warsaw,
http://wikidata.org/wiki/Q152750,Protectorate of Bohemia and Moravia,
http://wikidata.org/wiki/Q15296811,draughtsperson,
http://wikidata.org/wiki/Q153015,Kingdom of Saxony,
http://wikidata.org/wiki/Q153136,Habsburg Monarchy,
http://wikidata.org/wiki/Q153529,Duchy of Milan,
http://wikidata.org/wiki/Q153943,Kingdom of Westphalia,
http://wikidata.org/wiki/Q154195,Kingdom of Bavaria,
http://wikidata.org/wiki/Q154741,Confederation of the Rhine,
http://wikidata.org/wiki/Q154849,Grand Duchy of Tuscany,
http://wikidata.org/wiki/Q155,Brazil,
http://wikidata.org/wiki/Q155019,Duchy of Lorraine,
http://wikidata.org/wiki/Q1553,Nebraska,
http://wikidata.org/wiki/Q155570,Saxe-Weimar-Eisenach,
http://wikidata.org/wiki/Q156038,Duchy of Courland and Semigallia,
http://wikidata.org/wiki/Q156199,Electorate of Saxony,
http://wikidata.org/wiki/Q15643279,Khwarazmian empire/ khorasan /Tajikistan,
http://wikidata.org/wiki/Q156726,Ivano-Frankivsk,
http://wikidata.org/wiki/Q157070,County of Flanders,
http://wikidata.org/wiki/Q157109,Burgundian Netherlands,
http://wikidata.org/wiki/Q158445,Grand Duchy of Mecklenburg-Schwerin,
http://wikidata.org/wiki/Q15878,Normandy,
http://wikidata.org/wiki/Q159,Russia,
http://wikidata.org/wiki/Q159626,Württemberg,
http://wikidata.org/wiki/Q159631,Kingdom of Württemberg,
http://wikidata.org/wiki/Q159856,Duchy of Brabant,
http://wikidata.org/wiki/Q16,Canada,
http://wikidata.org/wiki/Q160307,Fatimid caliphate,
http://wikidata.org/wiki/Q1606043,Siberian Republic,
http://wikidata.org/wiki/Q161036,Free State of Prussia,
http://wikidata.org/wiki/Q161652,Japanese people,
http://wikidata.org/wiki/Q161885,Kingdom of Great Britain,
http://wikidata.org/wiki/Q16250490,Netherlands,
http://wikidata.org/wiki/Q1630289,Horváth,
http://wikidata.org/wiki/Q1633149,Soviet people,
http://wikidata.org/wiki/Q164079,Kingdom of Hanover,
http://wikidata.org/wiki/Q16410,People's Republic of Hungary,
http://wikidata.org/wiki/Q1649871,History of Poland during the Jagiellon dynasty,
