,nan,transgender female,intersex,fa'afafine,transgender male,male animal,woman,genderqueer,female,male,kathoey
-389.0,,,,,,,,,,1.0,
-388.0,,,,,,,,,,2.0,
-385.0,,,,,,,,,,2.0,
-384.0,,,,,,,,,,1.0,
-383.0,,,,,,,,,,1.0,
-382.0,,,,,,,,,,2.0,
-381.0,,,,,,,,,,2.0,
-380.0,,,,,,,,,1.0,4.0,
-375.0,,,,,,,,,1.0,2.0,
-373.0,,,,,,,,,,1.0,
-372.0,,,,,,,,,,2.0,
-371.0,,,,,,,,,,2.0,
-370.0,,,,,,,,,,6.0,
-368.0,,,,,,,,,,1.0,
-367.0,,,,,,,,,,2.0,
-365.0,,,,,,,,,,2.0,
-363.0,,,,,,,,,1.0,,
-362.0,,,,,,,,,1.0,2.0,
-361.0,,,,,,,,,,2.0,
-360.0,,,,,,,,,,2.0,
-359.0,,,,,,,,,,2.0,
-358.0,,,,,,,,,,1.0,
-356.0,,,,,,,,,,4.0,
-355.0,,,,,,,,,,1.0,
-354.0,,,,,,,,,,1.0,
-351.0,,,,,,,,,,1.0,
-350.0,,,,,,,,,,3.0,
-347.0,,,,,,,,,1.0,,
-343.0,,,,,,,,,,2.0,
-342.0,,,,,,,,,1.0,1.0,
-341.0,,,,,,,,,,2.0,
-340.0,,,,,,,,,2.0,8.0,
-337.0,,,,,,,,,,1.0,
-336.0,,,,,,,,,,1.0,
-335.0,,,,,,,,,,2.0,
-333.0,,,,,,,,,,1.0,
-331.0,,,,,,,,,,2.0,
-330.0,,,,,,,,,,3.0,
-327.0,,,,,,,,,,1.0,
-325.0,,,,,,,,,,6.0,
-324.0,,,,,,,,,,1.0,
-323.0,,,,,,,,,,3.0,
-320.0,,,,,,,,,,6.0,
-319.0,,,,,,,,,,1.0,
-318.0,,,,,,,,,,2.0,
-317.0,,,,,,,,,1.0,,
-316.0,,,,,,,,,1.0,,
-315.0,,,,,,,,,,2.0,
-313.0,,,,,,,,,,1.0,
-310.0,,,,,,,,,,5.0,
-308.0,,,,,,,,,,2.0,
-306.0,,,,,,,,,,1.0,
-305.0,,,,,,,,,1.0,1.0,
-304.0,,,,,,,,,,1.0,
-303.0,,,,,,,,,,1.0,
-302.0,,,,,,,,,,1.0,
-301.0,,,,,,,,,,1.0,
-300.0,,,,,,,,,,3.0,
-299.0,,,,,,,,,,2.0,
-297.0,,,,,,,,,,2.0,
-295.0,,,,,,,,,,2.0,
-294.0,,,,,,,,,,1.0,
-291.0,,,,,,,,,,1.0,
-290.0,,,,,,,,,,3.0,
-287.0,,,,,,,,,,1.0,
-286.0,,,,,,,,,,1.0,
-284.0,,,,,,,,,,2.0,
-281.0,,,,,,,,,,2.0,
-280.0,,,,,,,,,,5.0,
-279.0,,,,,,,,,,1.0,
-277.0,,,,,,,,,,1.0,
-276.0,,,,,,,,,,1.0,
-275.0,,,,,,,,,,1.0,
-272.0,,,,,,,,,,1.0,
-271.0,,,,,,,,,,1.0,
-270.0,,,,,,,,,,3.0,
-269.0,,,,,,,,,,2.0,
-268.0,,,,,,,,,,2.0,
-267.0,,,,,,,,,1.0,,
-266.0,,,,,,,,,,1.0,
-265.0,,,,,,,,,,3.0,
-263.0,,,,,,,,,,1.0,
-262.0,,,,,,,,,,2.0,
-260.0,,,,,,,,,,2.0,
-258.0,,,,,,,,,,1.0,
-257.0,,,,,,,,,,1.0,
-256.0,,,,,,,,,,2.0,
-255.0,,,,,,,,,,1.0,
-254.0,,,,,,,,,,1.0,
-253.0,,,,,,,,,,1.0,
-252.0,,,,,,,,,,1.0,
-250.0,,,,,,,,,,3.0,
-247.0,,,,,,,,,,1.0,
-246.0,,,,,,,,,1.0,,
-244.0,,,,,,,,,,1.0,
-243.0,,,,,,,,,,1.0,
-242.0,,,,,,,,,,1.0,
-241.0,,,,,,,,,1.0,1.0,
-240.0,,,,,,,,,,3.0,
-239.0,,,,,,,,,,1.0,
-238.0,,,,,,,,,,2.0,
-235.0,,,,,,,,,,3.0,
-234.0,,,,,,,,,,2.0,
-233.0,,,,,,,,,,1.0,
-232.0,,,,,,,,,,2.0,
-231.0,,,,,,,,,,1.0,
-230.0,,,,,,,,,1.0,4.0,
-229.0,,,,,,,,,,4.0,
-225.0,,,,,,,,,,1.0,
-221.0,,,,,,,,,,3.0,
-220.0,,,,,,,,,,3.0,
-217.0,,,,,,,,,,1.0,
-216.0,,,,,,,,,,3.0,
-215.0,,,,,,,,,,1.0,
-214.0,,,,,,,,,,2.0,
-213.0,,,,,,,,,,1.0,
-212.0,,,,,,,,,1.0,,
-210.0,,,,,,,,,,5.0,
-209.0,,,,,,,,,,2.0,
-208.0,,,,,,,,,,1.0,
-207.0,,,,,,,,,,2.0,
-206.0,,,,,,,,,,1.0,
-205.0,,,,,,,,,1.0,1.0,
-203.0,,,,,,,,,,1.0,
-202.0,,,,,,,,,1.0,2.0,
-201.0,,,,,,,,,,1.0,
-200.0,,,,,,,,,,2.0,
-197.0,,,,,,,,,,1.0,
-195.0,,,,,,,,,,1.0,
-194.0,,,,,,,,,,1.0,
-190.0,,,,,,,,,,4.0,
-189.0,,,,,,,,,1.0,,
-188.0,,,,,,,,,,3.0,
-187.0,,,,,,,,,,2.0,
-185.0,,,,,,,,,1.0,4.0,
-184.0,,,,,,,,,,1.0,
-182.0,,,,,,,,,,1.0,
-181.0,,,,,,,,,,1.0,
-180.0,,,,,,,,,,5.0,
-179.0,,,,,,,,,,3.0,
-177.0,,,,,,,,,,1.0,
-173.0,,,,,,,,,1.0,1.0,
-170.0,,,,,,,,,,4.0,
-169.0,,,,,,,,,,1.0,
-167.0,,,,,,,,,,1.0,
-165.0,,,,,,,,,,1.0,
-164.0,,,,,,,,,1.0,,
-163.0,,,,,,,,,,1.0,
-162.0,,,,,,,,,,1.0,
-161.0,,,,,,,,,1.0,1.0,
-160.0,,,,,,,,,,4.0,
-159.0,,,,,,,,,,1.0,
-158.0,,,,,,,,,,2.0,
-157.0,,,,,,,,,,2.0,
-156.0,,,,,,,,,,1.0,
-155.0,,,,,,,,,,2.0,
-154.0,,,,,,,,,,2.0,
-153.0,,,,,,,,,,1.0,
-152.0,,,,,,,,,,1.0,
-151.0,,,,,,,,,,1.0,
-150.0,,,,,,,,,,3.0,
-148.0,,,,,,,,,,1.0,
-147.0,,,,,,,,,,1.0,
-145.0,,,,,,,,,,2.0,
-143.0,,,,,,,,,,1.0,
-142.0,,,,,,,,,,1.0,
-140.0,,,,,,,,,1.0,7.0,
-138.0,,,,,,,,,1.0,1.0,
-137.0,,,,,,,,,,1.0,
-135.0,,,,,,,,,,4.0,
