,nan,transgender female,intersex,fa'afafine,transgender male,female animal,male animal,woman,genderqueer,female,male,kathoey
fiwikisource,3.0,,,,,,,,,21.0,215,
fjwiki,,,,,,,,,,1.0,16,
fowiki,34.0,1.0,,,1.0,,,,,407.0,1076,
frpwiki,1.0,,,,,,,,,28.0,140,
frrwiki,3.0,,,,,,,,,10.0,79,
frwiki,313.0,33.0,3.0,,5.0,,,,3.0,62842.0,350252,
frwikinews,1.0,,,,,,,,,6.0,36,
frwikiquote,,,,,,,,,,174.0,1686,
frwikisource,34.0,,,,,,,,,478.0,6102,
furwiki,,,,,,,,,,16.0,219,
fywiki,1358.0,,1.0,,,,,,,1186.0,4360,
gagwiki,2.0,,,,,,,,,7.0,35,
ganwiki,77.0,3.0,,,,,,,,49.0,346,
gawiki,9.0,,,,,,,,,624.0,4561,
gdwiki,6.0,,,,,,,,,134.0,1343,
glkwiki,12.0,,,,,,,,,5.0,51,
glwiki,999.0,4.0,,,,,,,,2711.0,17339,
glwikiquote,1.0,,,,,,,,,15.0,246,
glwikisource,,,,,,,,,,2.0,47,
gnwiki,,,,,,,,,,42.0,201,
gotwiki,,,,,,,,,,13.0,134,
guwiki,7.0,,,,,,,,,117.0,610,
guwikiquote,,,,,,,,,,,2,
guwikisource,1.0,,,,,,,,,2.0,35,
gvwiki,3.0,,,,,,,,,119.0,375,
hakwiki,1.0,,,,,,,,,21.0,195,
hawiki,,,,,,,,,,7.0,133,
hawwiki,,,,,,,,,,28.0,84,
hewiki,100.0,9.0,,,1.0,1.0,2.0,,1.0,8073.0,39430,
hewikinews,,,,,,,,,,,1,
hewikiquote,,,,,,,,,,122.0,909,
hewikisource,,,,,,,,,,1.0,192,
hifwiki,4.0,,,,,,,,,38.0,397,
hiwiki,83.0,,,,,,,,,1255.0,5590,
hiwikiquote,,,,,,,,,,1.0,14,
hrwiki,1420.0,1.0,,,,,,,,3215.0,18260,
hrwikiquote,12.0,,,,,,,,,34.0,438,
hrwikisource,14.0,,,,,,,,,4.0,141,
hsbwiki,60.0,,,,,,,,,166.0,557,
htwiki,1480.0,,,,,,,,,359.0,4321,
huwiki,13873.0,8.0,,,1.0,,,,,7219.0,41044,
huwikinews,,,,,,,,,,,3,
huwikiquote,2.0,,,,,,,,,29.0,533,
huwikisource,1.0,,,,,,,,,3.0,111,
hywiki,137.0,,,,,,,,,1110.0,7816,
hywikiquote,,,,,,,,,,26.0,377,
hywikisource,,,,,,,,,,1.0,58,
iawiki,9.0,,,,,,,,,126.0,599,
idwiki,4149.0,4.0,,,1.0,,,,,5545.0,29103,
idwikiquote,,,,,,,,,,10.0,124,
idwikisource,,,,,,,,,,1.0,8,
iewiki,3.0,,,,,,,,,91.0,249,
igwiki,,,,,,,,,,36.0,120,
ikwiki,,,,,,,,,,5.0,4,
ilowiki,1.0,,,,,,,,,123.0,848,
iowiki,3.0,,,,,,,,,627.0,4503,
iswiki,790.0,,,,,,,,,1097.0,4761,
iswikiquote,,,,,,,,,,1.0,77,
iswikisource,3.0,,,,,,,,,2.0,32,
itwiki,82.0,24.0,2.0,1.0,4.0,,1.0,,,38753.0,230264,
itwikinews,,,,,,,,,,1.0,21,
itwikiquote,9.0,1.0,,1.0,,,,,,1637.0,9869,
itwikisource,,,,,,,,,,97.0,3250,
iuwiki,,,,,,,,,,10.0,14,
jawiki,103079.0,17.0,1.0,1.0,,,,,1.0,35393.0,102361,1.0
jawikiquote,20.0,,,,,,,,,59.0,409,
jawikisource,1.0,,,,,,,,,4.0,39,
jbowiki,,,,,,,,,,9.0,98,
jvwiki,322.0,1.0,,,,,,,,860.0,3363,
kaawiki,,,,,,,,,,16.0,136,
kabwiki,,,,,,,,,,38.0,198,
kawiki,119.0,1.0,,,1.0,,,,,1403.0,9586,
kawikiquote,,,,,,,,,,19.0,285,
kbdwiki,,,,,,,,,,11.0,83,
kgwiki,,,,,,,,,,3.0,23,
kiwiki,,,,,,,,,,1.0,21,
kkwiki,575.0,1.0,,,,,,,,564.0,4320,
klwiki,,,,,,,,,,20.0,72,
kmwiki,3.0,,,,,,,,,30.0,193,
knwiki,5.0,,,,,,,,,298.0,1347,
koiwiki,4.0,,,,,,,,,8.0,35,
kowiki,14052.0,20.0,1.0,,2.0,,,,2.0,9233.0,34233,1.0
kowikinews,1.0,,,,,,,,,,1,
kowikiquote,1.0,,,,,,,,,15.0,217,
kowikisource,18.0,,,,,,,,,32.0,249,
krcwiki,,,,,,,,,,9.0,34,
kshwiki,3.0,,,,,,,,,172.0,291,
kswiki,,,,,,,,,,1.0,5,
kuwiki,69.0,1.0,,,,,,,,252.0,1629,
kuwikiquote,,,,,,,,,,8.0,138,
kvwiki,3.0,,,,,,,,,13.0,75,
kwwiki,,,,,,,,,,34.0,198,
kywiki,15.0,,,,,,,,,81.0,729,
kywikiquote,,,,,,,,,,,8,
ladwiki,3.0,,,,,,,,,67.0,244,
lawiki,80.0,4.0,,,,,,,,2413.0,20486,
lawikiquote,,,,,,,,,,,57,
lawikisource,1.0,,,,,,,,,8.0,299,
lbewiki,,,,,,,,,,,56,
lbwiki,327.0,,,,,,,,,1319.0,7237,
lbwikiquote,,,,,,,,,,,1,
lezwiki,1.0,,,,,,,,,11.0,111,
lgwiki,,,,,,,,,,2.0,5,
lijwiki,,,,,,,,,,28.0,227,
liwiki,6.0,,,,,,,,,122.0,609,
liwikiquote,1.0,1.0,,,,,,,,66.0,436,
liwikisource,,,,,,,,,,,3,
lmowiki,7.0,1.0,,,,,,,,165.0,1000,
lnwiki,1.0,,,,,,,,,25.0,165,
lowiki,,,,,,,,,,12.0,48,
ltgwiki,3.0,,,,,,,,,6.0,31,
ltwiki,7383.0,,,,,,,,,2502.0,16527,
ltwikiquote,1.0,,,,,,,,,62.0,758,
ltwikisource,,,,,,,,,,,6,
lvwiki,1170.0,1.0,,,,,,,,1700.0,9592,
map_bmswiki,6.0,,,,,,,,,15.0,89,
mdfwiki,,,,,,,,,,6.0,61,
mgwiki,1.0,,,,,,,,,187.0,1182,
mhrwiki,3.0,,,,,,,,,16.0,148,
minwiki,91.0,,,,,,,,,35.0,233,
miwiki,,,,,,,,,,26.0,115,
mkwiki,1150.0,,,,,,,,,818.0,6631,
mkwikisource,,,,,,,,,,1.0,6,
mlwiki,25.0,1.0,,,1.0,,,,,1234.0,5361,
mlwikiquote,,,,,,,,,,3.0,36,
mlwikisource,,,,,,,,,,,47,
mnwiki,14.0,,,,,,,,,626.0,3563,
mowiki,,,,,,,,,,,8,
mrjwiki,2.0,,,,,,,,,35.0,192,
mrwiki,23.0,,,,,,,,,1296.0,7674,
mrwikiquote,,,,,,,,,,,16,
mrwikisource,,,,,,,,,,,1,
mswiki,430.0,1.0,,,1.0,,,,,1525.0,6048,
mtwiki,,,,,,,,,,112.0,666,
mwlwiki,1.0,,,,,,,,,69.0,363,
myvwiki,,,,,,,,,,10.0,25,
mywiki,4.0,,,,,,,,,127.0,963,
mznwiki,13.0,,,,,,,,,206.0,1572,
nahwiki,,,,,,,,,,146.0,749,
napwiki,9.0,,,,,,,,,67.0,452,
nawiki,,,,,,,,,,37.0,85,
nds_nlwiki,9.0,,,,,,,,,61.0,263,
ndswiki,21.0,,,,,,,,,662.0,3631,
newiki,11.0,,,,,,,,,687.0,876,
newwiki,1.0,,,,,,,,,41.0,263,
nlwiki,2131.0,12.0,1.0,,2.0,,,,2.0,25847.0,137169,
nlwikinews,,,,,,,,,,,1,
nlwikiquote,4.0,1.0,,,,,,,,70.0,588,
nlwikisource,,,,,,,,,,2.0,113,
nnwiki,139.0,,,,,,,,,2298.0,13231,
nnwikiquote,,,,,,,,,,15.0,124,
novwiki,,,,,,,,,,50.0,96,
nowiki,921.0,4.0,,,1.0,,,,,23631.0,92438,
nowikinews,,,,,,,,,,2.0,1,
nowikiquote,,,,,,,,,,44.0,318,
nowikisource,,,,,,,,,,3.0,129,
nrmwiki,1.0,,,,,,,,,16.0,121,
nsowiki,,,,,,,,,,1.0,13,
nvwiki,,,,,,,,,,2.0,32,
nywiki,,,,,,,,,,3.0,15,
ocwiki,24.0,1.0,,,,,,,,1609.0,7932,
omwiki,,,,,,,,,,7.0,27,
orwiki,5.0,,,,,,,,,89.0,407,
oswiki,1.0,,,,,,,,,48.0,488,
pagwiki,4.0,,,,,,,,,16.0,89,
pamwiki,2.0,,,,,,,,,110.0,697,
papwiki,,,,,,,,,,34.0,81,
pawiki,10.0,,,,,,,,,379.0,2042,
pcdwiki,12.0,,,,,,,,,35.0,253,
pdcwiki,4.0,,,,,,,,,44.0,151,
pflwiki,1.0,,,,,,,,,8.0,48,
pihwiki,,,,,,,,,,14.0,32,
piwiki,,,,,,,,,,,8,
plwiki,1362.0,15.0,,,3.0,,1.0,,,39542.0,214016,
plwikinews,,,,,,,,,,,1,
plwikiquote,9.0,1.0,,,,,,,,837.0,4691,
plwikisource,13.0,,,,,,,,,49.0,647,
pmswiki,33.0,,,,,,,,,219.0,2724,
pnbwiki,5.0,,,,,,,,,281.0,2379,
pntwiki,,,,,,,,,,3.0,27,
pswiki,5.0,,,,,,,,,108.0,686,
ptwiki,296.0,23.0,1.0,1.0,3.0,,,,2.0,24342.0,127374,
ptwikinews,,,,,,,,,,1.0,6,
ptwikiquote,,,,,,,,,,334.0,1843,
ptwikisource,1.0,,,,,,,,,30.0,589,
quwiki,3.0,,,,,,,,,247.0,2170,
rmwiki,1.0,,,,,,,,,108.0,311,
rmywiki,1.0,,,,,,,,,14.0,30,
rnwiki,,,,,,,,,,1.0,3,
roa_rupwiki,5.0,,,,,,,,,12.0,107,
roa_tarawiki,,,,,,,,,,14.0,81,
rowiki,2157.0,1.0,,,,,,,,6010.0,28867,
rowikinews,,,,,,,,,,1.0,1,
rowikiquote,,,,,,,,,,6.0,163,
rowikisource,1.0,,,,,,,,,3.0,74,
ruewiki,1.0,,,,,,,,,19.0,291,
ruwiki,384.0,19.0,1.0,,4.0,,,,,36566.0,230577,1.0
ruwikinews,,,,,,,,,,148.0,517,
ruwikiquote,2.0,1.0,,,,,,,,280.0,2716,
ruwikisource,20.0,,,,,,,,,164.0,2176,
rwwiki,,,,,,,,,,18.0,154,
sahwiki,1.0,,,,,,,,,75.0,532,
sawiki,2.0,,,,,,,,,117.0,790,
scnwiki,28.0,,,,,,,,,256.0,2002,
scowiki,4.0,,,,,,,,,901.0,2526,
scwiki,,,,,,,,,,161.0,930,
sdwiki,,,,,,,,,,5.0,50,
sewiki,5.0,,,,,,,,,96.0,290,
sgwiki,,,,,,,,,,12.0,7,
shwiki,791.0,7.0,,,,,,,,3835.0,20094,
simplewiki,82.0,9.0,,,1.0,,,,2.0,4849.0,20946,
simplewikiquote,,,,,,,,,,45.0,328,
siwiki,2.0,1.0,,,,,,,,128.0,658,
skwiki,741.0,1.0,,,1.0,,,,,2950.0,19580,
skwikiquote,1.0,,,,,,,,,82.0,927,
skwikisource,,,,,,,,,,,1,
slwiki,3568.0,3.0,,,1.0,,5.0,,,2034.0,24709,
slwikiquote,1.0,,,,,,,,,62.0,922,
slwikisource,114.0,,,,,,,,,60.0,364,
smwiki,,,,,,,,,,7.0,39,
snwiki,,,,,,,,,,4.0,27,
sowiki,,,,,,,,,,48.0,343,
sqwiki,1882.0,,,,,,,,,851.0,4912,
sqwikiquote,4.0,,,,,,,,,7.0,81,
srnwiki,,,,,,,,,,25.0,85,
srwiki,664.0,2.0,,,,,,,,4421.0,20736,
srwikinews,1.0,,,,,,,,,1.0,18,
srwikiquote,,,,,,,,,,27.0,319,
srwikisource,3.0,,,,,,,,,3.0,118,
sswiki,1.0,,,,,,,,,5.0,32,
stqwiki,4.0,,,,,,,,,19.0,230,
stwiki,,,,,,,,,,1.0,13,
suwiki,39.0,,,,,,,,,113.0,535,
svwiki,174.0,14.0,,,6.0,,,,,33218.0,134590,
svwikinews,,,,,,,,,,3.0,13,
svwikiquote,,,,,,,,,,42.0,373,
svwikisource,3.0,,,,,,,,,58.0,438,
swwiki,67.0,,,,,,,,,518.0,3154,
szlwiki,1.0,,,,,,,,,91.0,447,
tawiki,150.0,2.0,,,,,,,,1603.0,11673,
tawikiquote,,,,,,,,,,4.0,76,
tetwiki,,,,,,,,,,5.0,31,
tewiki,18.0,,,,,,,,,653.0,2121,
tewikiquote,,,,,,,,,,3.0,43,
tewikisource,,,,,,,,,,2.0,50,
tgwiki,13.0,,,,,,,,,228.0,913,
thwiki,3484.0,4.0,,,1.0,,,,,2486.0,8781,1.0
thwikiquote,,,,,,,,,,2.0,42,
thwikisource,,,,,,,,,,,1,
tiwiki,,,,,,,,,,1.0,10,
tkwiki,1.0,,,,,,,,,24.0,247,
tlwiki,2201.0,5.0,,,1.0,,,,,3685.0,7080,
tnwiki,,,,,,,,,,8.0,39,
towiki,,,,,,,,,,10.0,53,
tpiwiki,,,,,,,,,,27.0,106,
trwiki,7306.0,5.0,,,1.0,,,,,6785.0,37561,
trwikinews,,,,,,,,,,2.0,6,
trwikiquote,5.0,,,,,,,,,127.0,940,
trwikisource,,,,,,,,,,1.0,24,
tswiki,,,,,,,,,,,8,
ttwiki,14.0,,,,,,,,,141.0,1507,
tumwiki,,,,,,,,,,1.0,8,
twwiki,,,,,,,,,,7.0,40,
tyvwiki,1.0,,,,,,,,,10.0,86,
tywiki,,,,,,,,,,8.0,35,
udmwiki,4.0,,,,,,,,,16.0,149,
ugwiki,7.0,1.0,,,,,,,,28.0,188,
ukwiki,907.0,3.0,,,1.0,,,,,11505.0,72625,
ukwikinews,,,,,,,,,,1.0,2,
ukwikiquote,2.0,,,,,,,,,98.0,974,
ukwikisource,,,,,,,,,,12.0,125,
urwiki,26.0,4.0,1.0,,,,,,1.0,2372.0,2823,
urwikiquote,,,,,,,,,,1.0,19,
uzwiki,68.0,,,,,,,,,222.0,1835,
uzwikiquote,,,,,,,,,,,11,
vecwiki,2.0,,,,,,,,,127.0,850,
vecwikisource,55.0,,,,,,,,,1.0,75,
vepwiki,4.0,,,,,,,,,103.0,326,
vewiki,,,,,,,,,,2.0,3,
viwiki,4635.0,3.0,,,,,,,,3147.0,14544,
viwikiquote,1.0,,,,,,,,,14.0,72,
viwikisource,3.0,,,,,,,,,2.0,44,
vlswiki,5.0,,,,,,,,,135.0,730,
vowiki,35.0,,,,,,,,,70.0,595,
warwiki,3.0,,,,,,,,,311.0,2394,
wawiki,3.0,,,,,,,,,103.0,818,
wikidatawiki,,,,,,,,,,,1,
wowiki,1.0,,,,,,,,,9.0,68,
wowikiquote,,,,,,,,,,2.0,7,
wuuwiki,33.0,,,,,,,,,167.0,307,
xalwiki,,,,,,,,,,2.0,56,
xhwiki,1.0,,,,,,,,,6.0,32,
xmfwiki,2.0,,,,,,,,,66.0,543,
yiwiki,5.0,,,,,,,,,157.0,1740,
yowiki,6.0,,,,,,,,,686.0,5953,
zawiki,3.0,,,,,,,,,4.0,94,
zeawiki,2.0,,,,,,,,,56.0,162,
zh_classicalwiki,153.0,,,,,,,,,64.0,834,
zh_min_nanwiki,79.0,1.0,,,,,,,,402.0,1345,
zh_min_nanwikiquote,,,,,,,,,,,6,
zh_yuewiki,311.0,3.0,,,,,,,,830.0,2429,
zhwiki,53542.0,13.0,,1.0,1.0,,,,,17550.0,55149,1.0
zhwikinews,,,,,,,,,,1.0,3,
zhwikiquote,16.0,,,,,,,,,70.0,571,
zhwikisource,40.0,,,,,,,,,17.0,227,
zuwiki,2.0,,,,,,,,,47.0,97,
