,transgender male,female,male
Q9134,0.0,0.0,1.0
Q1789149,0.0,0.0,2.0
Q489119,0.0,0.0,1.0
Q7617810,0.0,0.0,1.0
Q183888,0.0,0.0,2.0
Q217413,0.0,0.0,2.0
Q688335,0.0,0.0,1.0
Q47928,0.0,0.0,4.0
Q639493,0.0,1.0,0.0
Q44325,0.0,0.0,4.0
Q333458,0.0,1.0,0.0
Q1165883,0.0,0.0,1.0
Q42225,0.0,0.0,1.0
Q185698,0.0,1.0,0.0
Q72142,0.0,0.0,1.0
Q16525233,0.0,0.0,4.0
Q34726,0.0,0.0,1.0
Q943365,0.0,0.0,1.0
Q214267,0.0,0.0,2.0
Q123637,0.0,0.0,2.0
Q1146354,0.0,1.0,3.0
Q134307,0.0,5.0,12.0
Q1071,0.0,0.0,3.0
Q21198,0.0,4.0,55.0
Q1143546,0.0,0.0,1.0
Q21201,0.0,1.0,8.0
Q179161,0.0,0.0,1.0
Q864191,0.0,0.0,2.0
Q134783,0.0,0.0,1.0
Q234181,0.0,0.0,2.0
Q858517,0.0,0.0,1.0
Q5378,0.0,0.0,2.0
Q2386424,0.0,0.0,1.0
Q331563,0.0,0.0,1.0
Q11755949,0.0,0.0,1.0
Q5375,0.0,0.0,2.0
Q142714,0.0,0.0,1.0
Q83371,0.0,0.0,3.0
Q9268,0.0,0.0,1.0
Q8341,0.0,0.0,2.0
Q22649,0.0,0.0,1.0
Q482,0.0,11.0,68.0
Q465352,0.0,0.0,1.0
Q485,0.0,0.0,1.0
Q2078,0.0,0.0,1.0
Q459042,0.0,2.0,2.0
Q8018,0.0,0.0,1.0
Q1412694,0.0,0.0,1.0
Q82972,0.0,0.0,1.0
Q26336,0.0,0.0,1.0
Q36442,0.0,0.0,7.0
Q11216,0.0,0.0,5.0
Q11214,0.0,0.0,1.0
Q156050,0.0,1.0,0.0
Q194380,0.0,0.0,1.0
Q622425,0.0,0.0,1.0
Q729426,0.0,0.0,1.0
Q1154848,0.0,0.0,1.0
Q237200,0.0,0.0,1.0
Q2329,0.0,2.0,6.0
Q80006,0.0,0.0,1.0
Q161439,0.0,1.0,0.0
Q105196,0.0,0.0,1.0
Q467606,0.0,0.0,29.0
Q1144457,0.0,0.0,1.0
Q177777,0.0,0.0,1.0
Q35069,0.0,1.0,0.0
Q11661,0.0,0.0,1.0
Q11660,0.0,2.0,4.0
Q1114448,0.0,0.0,4.0
Q647525,0.0,0.0,1.0
Q11063,0.0,0.0,2.0
Q183216,0.0,0.0,1.0
Q2916094,0.0,0.0,1.0
Q474200,0.0,0.0,1.0
Q35395,0.0,1.0,2.0
Q203605,0.0,0.0,2.0
Q4356367,0.0,0.0,2.0
Q42962,0.0,1.0,0.0
Q625510,0.0,1.0,0.0
Q170519,0.0,0.0,1.0
Q8789,0.0,0.0,1.0
Q833065,0.0,0.0,3.0
Q212948,0.0,1.0,0.0
Q3552726,0.0,0.0,1.0
Q3490828,0.0,0.0,1.0
Q7553,0.0,3.0,6.0
Q173242,0.0,1.0,0.0
Q484181,0.0,0.0,51.0
Q11190,0.0,1.0,7.0
Q234881,0.0,0.0,1.0
Q373557,0.0,1.0,0.0
Q164204,0.0,0.0,1.0
Q41425,0.0,0.0,1.0
Q193391,0.0,0.0,51.0
Q3592876,0.0,0.0,1.0
Q11448,0.0,1.0,0.0
Q1971426,0.0,0.0,1.0
Q2190991,0.0,1.0,0.0
Q6625963,0.0,0.0,1.0
Q1329946,0.0,1.0,0.0
Q1860,0.0,0.0,1.0
Q690068,0.0,1.0,0.0
Q1241279,0.0,0.0,1.0
Q3475773,0.0,0.0,1.0
Q1636734,0.0,0.0,2.0
Q49084,0.0,1.0,2.0
Q209295,0.0,0.0,3.0
Q607081,0.0,0.0,1.0
Q1073559,0.0,0.0,1.0
Q4530482,0.0,1.0,0.0
Q17156912,0.0,1.0,26.0
Q834903,0.0,0.0,1.0
Q217406,0.0,0.0,1.0
Q7449091,0.0,1.0,2.0
Q185264,0.0,1.0,2.0
Q132151,0.0,0.0,3.0
Q336103,0.0,1.0,0.0
Q1109432,0.0,0.0,2.0
Q15899470,0.0,0.0,1.0
Q484761,0.0,2.0,4.0
Q3514338,0.0,0.0,1.0
Q253854,0.0,0.0,1.0
Q4610556,0.0,1.0,0.0
Q216685,0.0,0.0,2.0
Q384001,0.0,0.0,1.0
Q754803,0.0,0.0,1.0
Q181207,0.0,0.0,2.0
Q638608,0.0,0.0,2.0
Q208217,0.0,0.0,2.0
Q228736,0.0,0.0,2.0
Q1051088,0.0,0.0,1.0
Q184485,0.0,1.0,2.0
Q835153,0.0,0.0,1.0
Q1570681,0.0,1.0,0.0
Q352842,0.0,0.0,1.0
Q272576,0.0,0.0,0.0
Q186424,0.0,0.0,1.0
Q146491,0.0,0.0,1.0
Q50776,0.0,0.0,1.0
Q589,0.0,0.0,1.0
Q51739,0.0,1.0,0.0
Q606855,0.0,0.0,2.0
Q5367,0.0,0.0,1.0
Q1362208,0.0,0.0,1.0
Q188462,0.0,0.0,1.0
Q1762091,0.0,0.0,2.0
Q3510812,0.0,0.0,1.0
Q39809,0.0,0.0,2.0
Q180253,0.0,1.0,0.0
Q737201,0.0,0.0,1.0
Q5509478,0.0,1.0,0.0
Q5465542,0.0,1.0,0.0
Q11990,0.0,0.0,1.0
Q1062839,0.0,0.0,1.0
Q1381511,0.0,0.0,1.0
Q2839016,0.0,0.0,2.0
Q847486,0.0,0.0,1.0
Q212431,0.0,3.0,3.0
Q1806979,0.0,0.0,1.0
Q128758,0.0,0.0,1.0
Q216320,0.0,0.0,1.0
Q747713,0.0,0.0,2.0
Q47307,0.0,0.0,4.0
Q599510,0.0,1.0,0.0
Q126842,0.0,0.0,3.0
Q727659,0.0,0.0,4.0
Q11206,0.0,0.0,1.0
Q2045692,0.0,0.0,1.0
Q101333,0.0,0.0,4.0
Q1503585,0.0,0.0,1.0
Q79890,0.0,0.0,1.0
Q179805,0.0,0.0,4.0
Q121713,0.0,0.0,1.0
Q910164,0.0,0.0,1.0
Q6774721,0.0,0.0,1.0
Q9465,0.0,3.0,11.0
Q3046554,0.0,0.0,1.0
Q482919,0.0,0.0,4.0
Q236122,0.0,0.0,3.0
Q2669169,0.0,0.0,1.0
