,transgender male,female,male
Q1058629,0.0,0.0,1.0
Q1194674,0.0,0.0,1.0
Q3632898,0.0,0.0,1.0
Q11372,0.0,1.0,7.0
Q27387,0.0,0.0,1.0
Q622512,0.0,1.0,0.0
Q2283,0.0,0.0,1.0
Q93204,0.0,4.0,4.0
Q411398,0.0,0.0,1.0
Q59774,0.0,0.0,1.0
Q1916399,0.0,0.0,1.0
Q13220368,0.0,0.0,2.0
Q11015,0.0,0.0,1.0
Q11016,0.0,0.0,3.0
Q1916396,0.0,1.0,1.0
Q2353296,0.0,0.0,1.0
Q941594,0.0,0.0,2.0
Q83471,0.0,1.0,0.0
Q77590,0.0,1.0,3.0
Q9730,0.0,7.0,5.0
Q126236,0.0,0.0,1.0
Q1546695,0.0,1.0,0.0
Q1546270,0.0,0.0,1.0
Q1962682,0.0,1.0,0.0
Q174028,0.0,0.0,1.0
Q54925,0.0,0.0,1.0
Q192694,0.0,0.0,1.0
Q189049,0.0,0.0,1.0
Q750955,0.0,0.0,1.0
Q1163234,0.0,0.0,2.0
Q7278,0.0,0.0,1.0
Q7245788,0.0,0.0,1.0
Q47417,0.0,0.0,1.0
Q45621,0.0,1.0,0.0
Q1401416,0.0,0.0,2.0
Q11165,0.0,0.0,1.0
Q747381,0.0,0.0,1.0
Q396077,0.0,0.0,1.0
Q216033,0.0,0.0,1.0
Q1071985,0.0,0.0,1.0
Q779924,0.0,0.0,1.0
Q3043093,0.0,1.0,0.0
Q34362,0.0,0.0,5.0
Q212803,0.0,0.0,2.0
Q212805,0.0,0.0,1.0
Q231425,0.0,1.0,1.0
Q28545,0.0,0.0,1.0
Q2215841,0.0,0.0,1.0
Q250867,0.0,0.0,1.0
Q4387417,0.0,0.0,1.0
Q39680,0.0,0.0,2.0
Q36180,0.0,48.0,505.0
Q201788,0.0,0.0,5.0
Q178651,0.0,1.0,0.0
Q1153966,0.0,0.0,1.0
Q178659,0.0,2.0,2.0
Q15931767,0.0,0.0,1.0
Q461659,0.0,0.0,1.0
Q380669,0.0,0.0,1.0
Q321150,0.0,0.0,1.0
Q74950,0.0,1.0,1.0
Q1401304,0.0,0.0,1.0
Q338450,0.0,1.0,6.0
Q376934,0.0,0.0,1.0
Q815820,0.0,0.0,1.0
Q840400,0.0,0.0,1.0
Q180046,0.0,0.0,1.0
Q540912,0.0,1.0,1.0
Q169390,0.0,1.0,1.0
Q28161,0.0,0.0,2.0
Q7782227,0.0,1.0,0.0
Q245068,0.0,0.0,2.0
Q12206,0.0,1.0,0.0
Q8458,0.0,4.0,1.0
Q41493,0.0,2.0,12.0
Q10968653,0.0,0.0,2.0
Q1078351,0.0,1.0,1.0
Q7707,0.0,0.0,1.0
Q601401,0.0,0.0,2.0
Q189459,0.0,0.0,1.0
Q9581,0.0,1.0,1.0
Q26939,0.0,0.0,1.0
Q188504,0.0,1.0,1.0
Q2732142,0.0,0.0,1.0
Q194105,0.0,0.0,1.0
Q42603,0.0,0.0,1.0
Q204686,0.0,0.0,1.0
Q204680,0.0,0.0,1.0
Q42934,0.0,0.0,1.0
Q17516,0.0,0.0,1.0
Q161238,0.0,0.0,1.0
Q744448,0.0,0.0,2.0
Q2365406,0.0,0.0,1.0
Q2763,0.0,1.0,3.0
Q82245,0.0,0.0,2.0
Q156362,0.0,0.0,1.0
Q37226,0.0,0.0,2.0
Q1296423,0.0,0.0,1.0
Q622662,0.0,0.0,1.0
Q380313,0.0,0.0,1.0
Q3997704,0.0,0.0,1.0
Q5641,0.0,0.0,1.0
Q11248882,0.0,1.0,0.0
Q176555,0.0,0.0,1.0
Q1233720,0.0,1.0,1.0
Q706364,0.0,0.0,2.0
Q193430,0.0,1.0,0.0
Q972132,0.0,1.0,0.0
Q3697780,0.0,0.0,1.0
Q913709,0.0,0.0,1.0
Q180536,0.0,1.0,0.0
Q22719,0.0,0.0,2.0
Q3968,0.0,6.0,91.0
Q874429,0.0,7.0,107.0
Q889,0.0,0.0,1.0
Q11900058,0.0,0.0,1.0
Q212024,0.0,0.0,1.0
Q4796999,0.0,1.0,0.0
Q811115,0.0,1.0,0.0
Q131539,0.0,4.0,2.0
Q185973,0.0,1.0,1.0
Q156495,0.0,1.0,6.0
Q334734,0.0,1.0,1.0
Q81009,0.0,0.0,2.0
Q4204726,0.0,0.0,1.0
Q123028,0.0,1.0,1.0
Q80968,0.0,0.0,1.0
Q623538,0.0,0.0,1.0
Q200333,0.0,0.0,1.0
Q47555,0.0,0.0,4.0
Q1078913,0.0,0.0,1.0
Q338,0.0,0.0,1.0
Q47398,0.0,0.0,1.0
Q333,0.0,0.0,13.0
Q1195695,0.0,0.0,1.0
Q850661,0.0,0.0,1.0
Q948647,0.0,1.0,0.0
Q12585,0.0,0.0,1.0
Q2707485,0.0,0.0,1.0
Q1097630,0.0,1.0,0.0
Q19814,0.0,1.0,2.0
Q127328,0.0,1.0,0.0
Q222046,0.0,0.0,1.0
Q580689,0.0,0.0,1.0
Q131089,0.0,0.0,1.0
Q203209,0.0,0.0,5.0
Q6896043,0.0,0.0,1.0
Q41397,0.0,1.0,0.0
Q327358,0.0,0.0,1.0
Q1248362,0.0,0.0,1.0
Q204481,0.0,0.0,1.0
Q1353213,0.0,0.0,1.0
Q354034,0.0,0.0,1.0
Q48196,0.0,1.0,0.0
Q10800557,0.0,1.0,1.0
Q150971,0.0,0.0,1.0
Q579978,0.0,0.0,1.0
Q1729207,0.0,0.0,1.0
Q13346998,0.0,0.0,1.0
Q1028964,0.0,0.0,1.0
Q1515099,0.0,1.0,1.0
Q122252,0.0,0.0,1.0
Q742963,0.0,0.0,1.0
Q3479346,0.0,0.0,1.0
Q375560,0.0,0.0,1.0
Q6981670,0.0,1.0,1.0
Q189280,0.0,0.0,1.0
Q909459,0.0,0.0,1.0
Q7737,0.0,0.0,1.0
Q6501221,0.0,0.0,1.0
Q189447,0.0,0.0,1.0
Q1324964,0.0,0.0,1.0
Q296955,0.0,1.0,0.0
Q4488757,0.0,0.0,2.0
Q12100,0.0,0.0,1.0
Q816826,0.0,1.0,0.0
Q15991265,0.0,0.0,1.0
Q16340,0.0,0.0,1.0
Q16342,0.0,0.0,1.0
Q420732,0.0,0.0,1.0
Q1130265,0.0,0.0,1.0
Q1777205,0.0,0.0,1.0
Q7162115,0.0,0.0,1.0
Q14915627,0.0,0.0,1.0
Q159964,0.0,0.0,1.0
Q3510521,0.0,0.0,3.0
Q42250,0.0,0.0,1.0
Q652,0.0,0.0,1.0
Q901775,0.0,0.0,1.0
Q181043,0.0,1.0,1.0
Q2402434,0.0,0.0,1.0
Q12078,0.0,1.0,1.0
Q2259451,0.0,1.0,0.0
Q163082,0.0,0.0,1.0
Q835792,0.0,0.0,1.0
Q36963,0.0,0.0,1.0
Q432,0.0,0.0,1.0
Q431,0.0,0.0,1.0
Q1752579,0.0,0.0,1.0
Q473236,0.0,0.0,1.0
Q216545,0.0,1.0,0.0
Q4204600,0.0,0.0,1.0
Q2747152,0.0,0.0,2.0
Q159810,0.0,0.0,2.0
Q1577380,0.0,0.0,1.0
Q5915991,0.0,0.0,1.0
Q121594,0.0,0.0,1.0
Q668460,0.0,0.0,2.0
Q914395,0.0,0.0,1.0
Q831768,0.0,0.0,1.0
Q11351,0.0,1.0,4.0
Q11358,0.0,1.0,0.0
Q158607,0.0,0.0,8.0
Q131524,0.0,0.0,2.0
Q23522,0.0,0.0,1.0
Q2382339,0.0,0.0,1.0
Q191163,0.0,29.0,591.0
Q179226,0.0,0.0,1.0
Q6497044,0.0,0.0,1.0
Q2882201,0.0,0.0,1.0
Q271008,0.0,2.0,2.0
Q878226,0.0,0.0,2.0
Q160845,0.0,0.0,1.0
Q1066582,0.0,1.0,0.0
Q847526,0.0,0.0,27.0
Q349,0.0,0.0,2.0
Q4204133,0.0,0.0,2.0
Q508969,0.0,1.0,0.0
Q37156,0.0,0.0,1.0
Q676880,0.0,1.0,0.0
Q875592,0.0,0.0,3.0
Q54837,0.0,2.0,4.0
Q353956,0.0,1.0,0.0
Q1792400,0.0,0.0,1.0
Q130436,0.0,0.0,0.0
Q52139,0.0,1.0,1.0
Q876215,0.0,0.0,1.0
Q44703,0.0,0.0,1.0
Q192520,0.0,0.0,1.0
Q7252,0.0,7.0,0.0
Q7257,0.0,0.0,1.0
Q208505,0.0,0.0,1.0
Q177923,0.0,0.0,1.0
Q12482,0.0,1.0,66.0
Q1541373,0.0,1.0,0.0
Q216053,0.0,1.0,0.0
Q2404296,0.0,0.0,1.0
Q4671162,0.0,0.0,1.0
Q211248,0.0,0.0,1.0
Q842595,0.0,0.0,1.0
Q599991,0.0,0.0,1.0
Q625568,0.0,1.0,0.0
Q12015335,0.0,0.0,1.0
Q200639,0.0,0.0,1.0
Q171184,0.0,0.0,1.0
Q178678,0.0,0.0,1.0
Q186075,0.0,0.0,1.0
Q306786,0.0,1.0,0.0
Q39645,0.0,0.0,1.0
Q7435316,0.0,0.0,1.0
Q1317534,0.0,0.0,1.0
Q146893,0.0,1.0,1.0
Q4042967,0.0,1.0,0.0
Q718,0.0,0.0,1.0
Q1049976,0.0,0.0,1.0
Q539918,0.0,0.0,1.0
Q3281534,0.0,0.0,1.0
Q132659,0.0,0.0,1.0
Q652297,0.0,0.0,1.0
Q8434,0.0,4.0,4.0
Q963619,0.0,1.0,0.0
Q478679,0.0,0.0,1.0
Q108429,0.0,1.0,0.0
Q1288557,0.0,0.0,1.0
Q1071239,0.0,0.0,1.0
Q49496,0.0,0.0,1.0
Q9391,0.0,1.0,0.0
Q603159,0.0,0.0,1.0
Q583336,0.0,0.0,1.0
Q719725,0.0,1.0,0.0
Q182956,0.0,0.0,1.0
Q134435,0.0,0.0,2.0
Q1667430,0.0,0.0,1.0
Q205204,0.0,2.0,0.0
Q1252798,0.0,0.0,1.0
Q50675,0.0,0.0,4.0
Q8091,0.0,0.0,3.0
Q219625,0.0,2.0,2.0
Q965602,0.0,0.0,1.0
Q5043,0.0,2.0,0.0
Q420,0.0,1.0,1.0
Q2737409,0.0,1.0,40.0
Q44497,0.0,1.0,0.0
Q29583,0.0,1.0,2.0
Q190375,0.0,0.0,1.0
Q13142624,0.0,0.0,1.0
Q183605,0.0,0.0,1.0
Q956832,0.0,0.0,3.0
Q3151629,0.0,1.0,0.0
Q2493,0.0,0.0,1.0
Q8162,0.0,2.0,2.0
Q8161,0.0,0.0,1.0
Q1275120,0.0,0.0,1.0
Q428691,0.0,0.0,1.0
Q194302,0.0,0.0,1.0
Q238170,0.0,0.0,1.0
Q8361,0.0,1.0,1.0
Q8362,0.0,1.0,0.0
Q318438,0.0,0.0,1.0
Q9418,0.0,0.0,2.0
Q12479,0.0,10.0,317.0
Q1899943,0.0,0.0,1.0
Q185917,0.0,0.0,2.0
Q514,0.0,0.0,2.0
Q455928,0.0,1.0,1.0
Q191159,0.0,0.0,1.0
Q171401,0.0,0.0,1.0
Q765633,0.0,0.0,6.0
Q2294553,0.0,0.0,1.0
Q482980,0.0,0.0,3.0
Q179232,0.0,0.0,1.0
Q1735738,0.0,0.0,1.0
Q41083,0.0,0.0,1.0
Q829183,0.0,1.0,0.0
Q179235,0.0,1.0,1.0
Q550258,0.0,0.0,1.0
Q2520728,0.0,0.0,1.0
Q738011,0.0,0.0,1.0
Q2944277,0.0,0.0,1.0
Q1048240,0.0,0.0,1.0
Q1569950,0.0,1.0,2.0
Q1202615,0.0,0.0,1.0
Q4394526,0.0,0.0,3.0
Q8072,0.0,1.0,0.0
Q182557,0.0,0.0,1.0
Q1779152,0.0,0.0,2.0
Q2043282,0.0,1.0,0.0
Q25324,0.0,1.0,0.0
Q25326,0.0,0.0,1.0
Q18524075,0.0,0.0,1.0
Q6554075,0.0,0.0,1.0
Q210701,0.0,0.0,1.0
Q852732,0.0,0.0,10.0
Q177005,0.0,0.0,1.0
Q1153171,0.0,0.0,1.0
Q5689659,0.0,0.0,1.0
Q1154774,0.0,0.0,1.0
Q17076284,0.0,1.0,0.0
Q170790,0.0,0.0,3.0
Q47280,0.0,0.0,1.0
Q127782,0.0,0.0,1.0
Q93184,0.0,2.0,0.0
Q2487696,0.0,0.0,1.0
Q380274,0.0,0.0,1.0
Q189603,0.0,0.0,1.0
Q244475,0.0,0.0,3.0
Q10737,0.0,0.0,1.0
Q13644106,0.0,0.0,2.0
Q570018,0.0,0.0,2.0
Q178803,0.0,0.0,1.0
Q170593,0.0,0.0,1.0
Q471872,0.0,0.0,1.0
Q1643884,0.0,0.0,1.0
Q2876213,0.0,0.0,2.0
Q6241,0.0,0.0,2.0
Q42388,0.0,0.0,3.0
Q1747689,0.0,0.0,2.0
Q16000061,0.0,0.0,1.0
Q8180985,0.0,0.0,1.0
Q1365243,0.0,1.0,0.0
Q1669815,0.0,0.0,1.0
Q39631,0.0,19.0,399.0
Q1415395,0.0,1.0,0.0
Q27509,0.0,1.0,0.0
Q52,0.0,1.0,1.0
Q745328,0.0,0.0,1.0
Q930164,0.0,0.0,1.0
Q565,0.0,0.0,1.0
Q1667082,0.0,0.0,2.0
Q190979,0.0,1.0,1.0
Q18346,0.0,0.0,1.0
Q12271,0.0,0.0,1.0
Q715396,0.0,0.0,1.0
Q908917,0.0,0.0,1.0
Q200751,0.0,0.0,1.0
Q212944,0.0,1.0,1.0
Q373065,0.0,0.0,1.0
Q8421,0.0,0.0,2.0
Q8424,0.0,0.0,2.0
Q2516866,0.0,0.0,2.0
Q211500,0.0,0.0,1.0
Q72468,0.0,0.0,1.0
Q385378,0.0,0.0,3.0
Q214028,0.0,0.0,1.0
Q11425,0.0,1.0,4.0
Q11424,0.0,1.0,13.0
Q1049183,0.0,0.0,1.0
Q11420,0.0,1.0,0.0
Q1349760,0.0,0.0,1.0
Q185351,0.0,0.0,2.0
Q3243461,0.0,0.0,1.0
Q7754,0.0,8.0,248.0
Q5482740,0.0,0.0,1.0
Q188391,0.0,1.0,0.0
Q593644,0.0,0.0,2.0
Q324089,0.0,0.0,1.0
Q1044484,0.0,0.0,1.0
Q1311612,0.0,0.0,1.0
Q9142,0.0,0.0,1.0
Q9143,0.0,0.0,2.0
Q208365,0.0,0.0,1.0
Q1259197,0.0,0.0,4.0
Q1455196,0.0,1.0,0.0
Q16387,0.0,0.0,1.0
Q5891,0.0,3.0,16.0
Q638,0.0,4.0,25.0
Q159943,0.0,1.0,1.0
Q167676,0.0,0.0,1.0
Q8087,0.0,2.0,138.0
Q1287,0.0,0.0,2.0
Q1277348,0.0,1.0,0.0
Q35911,0.0,0.0,4.0
Q1130519,0.0,0.0,1.0
Q17279581,0.0,44.0,83.0
Q849798,0.0,0.0,1.0
Q128115,0.0,1.0,0.0
Q43450,0.0,0.0,2.0
Q459381,0.0,0.0,1.0
Q83219,0.0,0.0,1.0
Q4508,0.0,0.0,1.0
Q748,0.0,0.0,2.0
Q139106,0.0,1.0,7.0
Q5451,0.0,1.0,0.0
Q238499,0.0,0.0,2.0
Q2142888,0.0,0.0,1.0
Q35986,0.0,0.0,6.0
Q1753773,0.0,0.0,1.0
Q3772686,0.0,1.0,0.0
Q683794,0.0,1.0,0.0
Q3429919,0.0,0.0,2.0
Q27183,0.0,1.0,0.0
Q276258,0.0,1.0,0.0
Q2962928,0.0,0.0,1.0
Q439072,0.0,0.0,1.0
Q5697103,0.0,0.0,1.0
Q43290,0.0,0.0,2.0
Q1154615,0.0,0.0,1.0
Q483666,0.0,0.0,1.0
Q1620918,0.0,0.0,1.0
Q101929,0.0,0.0,1.0
Q1392297,0.0,0.0,1.0
Q362,0.0,0.0,2.0
Q258212,0.0,0.0,1.0
Q811092,0.0,0.0,1.0
Q11879281,0.0,2.0,1.0
Q1235146,0.0,0.0,1.0
Q1020604,0.0,0.0,1.0
Q682558,0.0,1.0,0.0
Q1458465,0.0,0.0,1.0
Q1979615,0.0,0.0,1.0
Q131476,0.0,7.0,98.0
Q361,0.0,0.0,1.0
Q131479,0.0,0.0,1.0
Q45996,0.0,0.0,1.0
Q166030,0.0,0.0,1.0
Q869095,0.0,0.0,1.0
Q282129,0.0,0.0,2.0
Q25312,0.0,0.0,2.0
Q177275,0.0,0.0,1.0
Q494452,0.0,0.0,1.0
Q13883136,0.0,0.0,2.0
Q1476215,0.0,0.0,1.0
Q4964182,0.0,0.0,1.0
Q785222,0.0,0.0,1.0
Q335414,0.0,0.0,27.0
Q192781,0.0,0.0,2.0
Q2002373,0.0,1.0,0.0
Q184890,0.0,0.0,2.0
Q3764113,0.0,0.0,1.0
Q606654,0.0,0.0,1.0
Q75809,0.0,1.0,0.0
Q423123,0.0,1.0,0.0
Q268416,0.0,0.0,1.0
Q1368144,0.0,3.0,16.0
Q1642137,0.0,0.0,1.0
Q161448,0.0,0.0,1.0
Q9603,0.0,0.0,27.0
Q515546,0.0,0.0,1.0
Q1779521,0.0,1.0,0.0
Q41630,0.0,2.0,2.0
Q12860724,0.0,1.0,0.0
Q48277,0.0,1.0,0.0
Q31987,0.0,1.0,0.0
Q18535,0.0,0.0,1.0
Q11633,0.0,2.0,1.0
Q11634,0.0,5.0,7.0
Q11635,0.0,3.0,10.0
Q1142548,0.0,0.0,1.0
Q54969,0.0,0.0,1.0
Q13418253,0.0,0.0,1.0
Q5957770,0.0,0.0,1.0
Q149999,0.0,0.0,1.0
Q40831,0.0,0.0,2.0
Q171899,0.0,1.0,0.0
Q40348,0.0,0.0,4.0
Q41,0.0,0.0,1.0
Q214102,0.0,0.0,1.0
Q11708,0.0,0.0,1.0
Q484847,0.0,0.0,1.0
Q2085381,0.0,0.0,1.0
Q203989,0.0,0.0,1.0
Q502038,0.0,0.0,1.0
Q908902,0.0,1.0,1.0
Q123492,0.0,0.0,2.0
Q928357,0.0,0.0,1.0
Q10384,0.0,0.0,2.0
Q8418,0.0,1.0,0.0
Q38112,0.0,0.0,4.0
Q953045,0.0,1.0,0.0
Q187657,0.0,0.0,1.0
Q708312,0.0,0.0,1.0
Q333018,0.0,0.0,1.0
Q597136,0.0,0.0,1.0
Q280817,0.0,0.0,8.0
Q7748,0.0,1.0,25.0
Q189380,0.0,0.0,1.0
Q735188,0.0,1.0,1.0
Q11417,0.0,0.0,1.0
Q1124477,0.0,0.0,1.0
Q17143415,0.0,0.0,1.0
Q164761,0.0,0.0,1.0
Q3282637,0.0,1.0,7.0
Q76592,0.0,8.0,151.0
Q648154,0.0,0.0,1.0
Q17176296,0.0,0.0,1.0
Q185387,0.0,1.0,0.0
Q959782,0.0,0.0,2.0
Q2248246,0.0,0.0,1.0
Q1117470,0.0,0.0,2.0
Q5849,0.0,0.0,2.0
Q14633884,0.0,1.0,0.0
Q171141,0.0,0.0,1.0
Q202833,0.0,0.0,1.0
Q1069306,0.0,0.0,1.0
Q1920065,0.0,2.0,0.0
Q161272,0.0,0.0,1.0
Q4122235,0.0,0.0,1.0
Q1395219,0.0,0.0,1.0
Q184524,0.0,0.0,5.0
Q484591,0.0,0.0,4.0
Q9288,0.0,0.0,1.0
Q679842,0.0,0.0,1.0
Q33296,0.0,0.0,1.0
Q235258,0.0,0.0,3.0
Q15,0.0,1.0,0.0
Q2128336,0.0,0.0,1.0
Q1050259,0.0,0.0,1.0
Q269323,0.0,0.0,1.0
Q238533,0.0,0.0,1.0
Q195,0.0,0.0,2.0
Q631521,0.0,1.0,0.0
Q828279,0.0,0.0,1.0
Q43114,0.0,0.0,1.0
Q2721171,0.0,0.0,1.0
Q955043,0.0,0.0,1.0
Q3665646,0.0,0.0,2.0
Q201965,0.0,0.0,1.0
Q983987,0.0,1.0,0.0
Q5113,0.0,0.0,1.0
Q80993,0.0,1.0,0.0
Q849216,0.0,0.0,1.0
Q1047168,0.0,0.0,1.0
Q289,0.0,1.0,0.0
Q233387,0.0,0.0,1.0
Q2235851,0.0,0.0,1.0
Q179310,0.0,0.0,1.0
Q44854,0.0,0.0,1.0
Q42515,0.0,0.0,2.0
Q1660187,0.0,0.0,1.0
Q156438,0.0,0.0,1.0
Q172145,0.0,0.0,1.0
Q22688,0.0,0.0,4.0
Q1669589,0.0,0.0,2.0
Q1096013,0.0,0.0,1.0
Q242446,0.0,0.0,1.0
Q223693,0.0,1.0,0.0
Q186386,0.0,0.0,2.0
Q9764,0.0,1.0,0.0
Q15982362,0.0,0.0,1.0
Q2001702,0.0,0.0,1.0
Q13404081,0.0,1.0,0.0
Q10866633,0.0,1.0,0.0
Q844240,0.0,1.0,1.0
Q44455,0.0,0.0,4.0
Q23407,0.0,1.0,1.0
Q23404,0.0,1.0,3.0
Q672598,0.0,0.0,1.0
Q2419207,0.0,0.0,1.0
Q26371,0.0,0.0,1.0
Q190539,0.0,1.0,0.0
Q2272912,0.0,0.0,1.0
Q1412709,0.0,1.0,0.0
Q52107,0.0,1.0,0.0
Q52106,0.0,0.0,1.0
Q900636,0.0,1.0,0.0
Q269915,0.0,0.0,1.0
Q243551,0.0,0.0,2.0
Q640037,0.0,0.0,1.0
Q794605,0.0,1.0,1.0
Q5127848,0.0,1.0,0.0
Q1517295,0.0,0.0,1.0
Q1689605,0.0,0.0,0.0
Q214917,0.0,0.0,2.0
Q271588,0.0,1.0,2.0
Q5950039,0.0,0.0,1.0
Q16966481,0.0,0.0,1.0
Q2891147,0.0,0.0,1.0
Q5986917,0.0,0.0,1.0
Q20532,0.0,0.0,2.0
Q590870,0.0,6.0,14.0
Q7199,0.0,0.0,1.0
Q1257115,0.0,0.0,1.0
Q471183,0.0,0.0,1.0
Q11629,0.0,1.0,1.0
Q1768697,0.0,0.0,5.0
Q1524573,0.0,0.0,1.0
Q2135597,0.0,0.0,1.0
Q808561,0.0,0.0,2.0
Q135637,0.0,1.0,0.0
Q180969,0.0,5.0,74.0
Q547546,0.0,0.0,1.0
Q136851,0.0,0.0,1.0
Q178598,0.0,0.0,1.0
Q40821,0.0,0.0,1.0
Q193756,0.0,0.0,4.0
Q212036,0.0,0.0,1.0
Q1061140,0.0,0.0,1.0
Q771220,0.0,0.0,1.0
Q4335010,0.0,0.0,1.0
Q37437,0.0,0.0,1.0
Q2922870,0.0,0.0,1.0
Q558929,0.0,0.0,1.0
Q27890,0.0,0.0,1.0
Q216866,0.0,1.0,0.0
Q216861,0.0,0.0,1.0
Q1075388,0.0,0.0,1.0
Q174705,0.0,0.0,1.0
Q2583784,0.0,0.0,1.0
Q151993,0.0,0.0,1.0
Q1516654,0.0,0.0,1.0
Q123006,0.0,0.0,4.0
Q758871,0.0,0.0,1.0
Q7778,0.0,0.0,1.0
Q7175,0.0,0.0,2.0
Q7174,0.0,1.0,0.0
Q11409,0.0,0.0,1.0
Q148499,0.0,0.0,1.0
Q486761,0.0,0.0,1.0
Q6420782,0.0,0.0,1.0
Q2024068,0.0,0.0,1.0
Q1559267,0.0,0.0,1.0
Q12818349,0.0,0.0,20.0
Q201486,0.0,0.0,3.0
Q174416,0.0,0.0,2.0
Q637284,0.0,0.0,2.0
Q42989,0.0,13.0,197.0
Q612024,0.0,0.0,1.0
Q611711,0.0,1.0,0.0
Q145903,0.0,0.0,1.0
Q126552,0.0,0.0,3.0
Q152384,0.0,1.0,0.0
Q1519812,0.0,1.0,0.0
Q134995,0.0,0.0,1.0
Q3972943,0.0,0.0,3.0
Q58854,0.0,0.0,3.0
Q11285118,0.0,1.0,0.0
Q742333,0.0,0.0,4.0
Q168091,0.0,2.0,0.0
Q583271,0.0,0.0,1.0
Q1780384,0.0,1.0,1.0
Q2540376,0.0,0.0,1.0
Q188575,0.0,0.0,1.0
Q122976,0.0,1.0,0.0
Q1004,0.0,0.0,3.0
Q134194,0.0,0.0,1.0
Q17479289,0.0,0.0,1.0
Q158852,0.0,0.0,1.0
Q9585,0.0,0.0,1.0
Q11128145,0.0,0.0,1.0
Q650483,0.0,1.0,0.0
Q1497658,0.0,1.0,0.0
Q1944407,0.0,0.0,1.0
Q5498822,0.0,1.0,2.0
Q2736,0.0,1.0,5.0
Q2115,0.0,1.0,2.0
Q5446356,0.0,1.0,0.0
Q783874,0.0,0.0,1.0
Q80962,0.0,1.0,0.0
Q432386,0.0,0.0,2.0
Q213369,0.0,0.0,2.0
Q840829,0.0,0.0,4.0
Q7478098,0.0,1.0,0.0
Q576342,0.0,2.0,0.0
Q43035,0.0,0.0,7.0
Q301751,0.0,0.0,2.0
Q642379,0.0,0.0,1.0
Q124100,0.0,0.0,2.0
Q2840,0.0,0.0,1.0
Q1741922,0.0,0.0,1.0
Q22671,0.0,0.0,4.0
Q1544924,0.0,0.0,1.0
Q1379246,0.0,0.0,1.0
Q1074953,0.0,0.0,2.0
Q166542,0.0,0.0,5.0
Q191691,0.0,0.0,1.0
Q1323572,0.0,1.0,0.0
Q697205,0.0,0.0,1.0
Q143,0.0,11.0,34.0
Q746656,0.0,0.0,1.0
Q230061,0.0,0.0,1.0
Q17106098,0.0,0.0,1.0
Q61509,0.0,1.0,0.0
Q660910,0.0,0.0,2.0
Q765778,0.0,1.0,0.0
Q816425,0.0,0.0,1.0
Q809831,0.0,0.0,1.0
Q25372,0.0,0.0,2.0
Q495304,0.0,1.0,2.0
Q1529430,0.0,0.0,1.0
Q3798668,0.0,0.0,10.0
Q9129,0.0,0.0,1.0
Q6138343,0.0,0.0,1.0
Q2002157,0.0,0.0,1.0
Q130693,0.0,1.0,0.0
Q1683099,0.0,1.0,0.0
Q368498,0.0,0.0,1.0
Q2247122,0.0,0.0,1.0
Q738680,0.0,0.0,2.0
Q856574,0.0,3.0,10.0
Q11650,0.0,0.0,2.0
Q837171,0.0,0.0,1.0
Q443153,0.0,1.0,2.0
Q7181,0.0,0.0,1.0
Q54505,0.0,1.0,2.0
Q1027879,0.0,0.0,2.0
Q222749,0.0,3.0,1.0
Q36649,0.0,0.0,3.0
Q861689,0.0,0.0,1.0
Q4698539,0.0,0.0,1.0
Q592031,0.0,0.0,1.0
Q1081138,0.0,1.0,0.0
Q6502154,0.0,0.0,2.0
Q39427,0.0,1.0,0.0
Q179465,0.0,0.0,1.0
Q20266330,0.0,0.0,1.0
Q1075827,0.0,0.0,1.0
Q203549,0.0,0.0,1.0
Q3730761,0.0,1.0,0.0
Q214127,0.0,1.0,1.0
Q1367522,0.0,0.0,2.0
Q1746926,0.0,0.0,1.0
Q186030,0.0,1.0,1.0
Q193210,0.0,0.0,1.0
Q149537,0.0,1.0,0.0
Q65955,0.0,1.0,0.0
Q308966,0.0,1.0,0.0
Q653368,0.0,0.0,1.0
Q193692,0.0,0.0,1.0
Q1608023,0.0,0.0,1.0
Q6886791,0.0,0.0,1.0
Q6060491,0.0,1.0,0.0
Q41767,0.0,0.0,1.0
Q412798,0.0,0.0,1.0
Q1138780,0.0,0.0,4.0
Q4853732,0.0,1.0,0.0
Q168796,0.0,0.0,1.0
Q219087,0.0,1.0,0.0
Q35277,0.0,0.0,9.0
Q2767140,0.0,0.0,1.0
Q197536,0.0,0.0,1.0
Q39286,0.0,0.0,23.0
Q7167,0.0,1.0,1.0
Q7162,0.0,0.0,2.0
Q7163,0.0,9.0,37.0
Q11473,0.0,1.0,1.0
Q1328688,0.0,1.0,0.0
Q381624,0.0,0.0,1.0
Q460162,0.0,0.0,2.0
Q7168,0.0,0.0,1.0
Q14620,0.0,0.0,3.0
Q595364,0.0,0.0,15.0
Q3578586,0.0,0.0,1.0
Q3305213,0.0,2.0,1.0
Q190549,0.0,1.0,50.0
Q18281,0.0,1.0,0.0
Q755179,0.0,0.0,1.0
Q49297,0.0,1.0,1.0
Q82604,0.0,0.0,2.0
Q483396,0.0,0.0,1.0
Q168338,0.0,0.0,1.0
Q15995642,0.0,0.0,1.0
Q560575,0.0,0.0,3.0
Q69883,0.0,1.0,1.0
Q12280,0.0,0.0,1.0
Q899719,0.0,2.0,4.0
Q202866,0.0,0.0,1.0
Q2310752,0.0,1.0,1.0
Q3014296,0.0,0.0,9.0
Q1344,0.0,4.0,3.0
